id,site,species,geno,replicate,sampleid,tank,ph,temp,treatment,treat,time,genotype,growthrate,fvfm,fvfm_ratio,survival,propB,propD,temp_actual,ph_actual
Ssid_001,Emerald,Ssid,1,1,Es1-1,3,controlpH,controltemp,controlpH_controltemp,CC,11:36,22,0.217443762,0.349,0.759,25,0,0.98,22.576029,8.041769
Ssid_002,Emerald,Ssid,2,1,Es2-1,3,controlpH,controltemp,controlpH_controltemp,CC,11:40,23,0.381374534,0.377,0.818,10,0,0,22.606222,8.040733
Ssid_003,Emerald,Ssid,3,1,Es3-1,3,controlpH,controltemp,controlpH_controltemp,CC,11:43,24,0.297558077,0.442,0.811,12,0,0.87,22.567883,8.044771
Ssid_004,Emerald,Ssid,4,1,Es4-1,3,controlpH,controltemp,controlpH_controltemp,CC,11:47,25,0.278651641,0.344,0.709,17,0,0.99,22.490319,8.045541
Ssid_005,Emerald,Ssid,5,1,Es5-1,3,controlpH,controltemp,controlpH_controltemp,CC,11:50,26,0.139653228,0.422,0.752,10,0,0.5,22.487894,8.045853
Ssid_006,Rainbow,Ssid,1,1,Rs1-1,3,controlpH,controltemp,controlpH_controltemp,CC,11:55,27,0.522499718,0.364,0.754,25,0,1,22.529544,8.046972
Ssid_007,Rainbow,Ssid,2,1,Rs2-1,3,controlpH,controltemp,controlpH_controltemp,CC,11:58,28,0.221364791,0.462,0.885,17,1,0,22.551016,8.047554
Ssid_008,Rainbow,Ssid,3,1,Rs3-1,3,controlpH,controltemp,controlpH_controltemp,CC,12:01,29,0.004656782,0.321,0.964,5,0,0,22.568932,8.039805
Ssid_009,Rainbow,Ssid,4,1,Rs4-1,3,controlpH,controltemp,controlpH_controltemp,CC,12:05,30,0.285182337,0.34,0.653,19,0,1,22.602862,8.046859
Ssid_010,Rainbow,Ssid,5,1,Rs5-1,3,controlpH,controltemp,controlpH_controltemp,CC,12:08,31,0.273228984,0.363,0.671,25,0,1,22.588241,8.037466
Ssid_011,Star,Ssid,1,1,Ss1-1,3,controlpH,controltemp,controlpH_controltemp,CC,12:07,32,0.116113034,0.34,0.685,19,0,1,22.605321,8.045583
Ssid_012,Star,Ssid,2,1,Ss2-1,3,controlpH,controltemp,controlpH_controltemp,CC,12:13,33,0.282591767,0.395,0.748,12,0,1,22.499794,8.055674
Ssid_013,Star,Ssid,3,1,Ss3-1,3,controlpH,controltemp,controlpH_controltemp,CC,12:17,34,0.277387412,0.371,0.763,19,0,1,22.503498,8.053427
Ssid_014,Star,Ssid,4,1,Ss4-1,3,controlpH,controltemp,controlpH_controltemp,CC,12:18,35,0.331965316,0.302,0.651,11,0,1,22.5113,8.056571
Ssid_015,Star,Ssid,5,1,Ss5-1,3,controlpH,controltemp,controlpH_controltemp,CC,12:19,36,0.454156614,0.428,0.768,27,0,1,22.514956,8.054615
