Tank,Time,Species,Site,Treatment,Name,Si,NO2,NO3,NH4,PO4
2,Day,Ssid,Emerald,LH,Es 5-4,-0.62,-0.016,-0.766,-0.926,-0.015
2,Day,Ssid,MacNorth,LH,Ms 5-4,-0.339,-0.017,-0.594,-0.892,-0.023
2,Day,Ssid,Rainbow,LH,Rs 5-4,-0.572,-0.017,-0.638,-1.003,-0.04
2,Day,Ssid,Star,LH,Ss 5-4,-0.481,-0.021,-0.608,-0.763,-0.027
5,Day,Ssid,Emerald,CH,Es 5-2,-0.382,-0.004,-0.279,-1.254,-0.064
5,Day,Ssid,MacNorth,CH,Ms 5-2,-0.218,-0.002,-0.488,-1.161,-0.057
5,Day,Ssid,Rainbow,CH,Rs 5-2,-0.289,-0.008,-0.517,-1.241,-0.069
5,Day,Ssid,Star,CH,Ss 5-2,-0.668,-0.01,-0.635,-2.028,-0.079
6,Day,Ofav,MacNorth,CH,CR046,-0.117,0.017,-0.312,-1.098,-0.048
6,Day,Ofav,Emerald,CH,Eo 5-2,-0.045,-0.007,-0.277,-0.885,-0.055
6,Day,Ofav,MacNorth,CH,Mo 5-2,0.113,0.065,-0.334,-0.767,0.099
6,Day,Ofav,Rainbow,CH,Ro 5-2,0.016,-0.007,-0.362,-0.831,-0.076
6,Day,Ofav,Star,CH,So 5-2,0.02,0.01,-0.355,-1.153,-0.032
8,Day,Ofav,MacNorth,LH,CR049,-0.368,-0.005,-0.248,-0.064,0.127
8,Day,Ofav,Emerald,LH,Eo 5-4,-0.436,0.023,-0.362,-0.025,0.164
8,Day,Ofav,MacNorth,LH,Mo 5-4,-0.366,0.006,-0.258,0.025,0.161
8,Day,Ofav,Rainbow,LH,Ro 5-4,-0.527,0,-0.358,-0.049,0.096
8,Day,Ofav,Star,LH,So 5-4,-0.436,0.006,-0.292,-0.05,0.337
2,Night,Ssid,Emerald,LH,Es 5-4,-0.472,0.015,-0.078,0.728,0.021
2,Night,Ssid,MacNorth,LH,Ms 5-4,-0.08,-0.004,-0.287,-0.223,-0.045
2,Night,Ssid,Rainbow,LH,Rs 5-4,-0.509,0.001,-0.151,-0.231,-0.057
2,Night,Ssid,Star,LH,Ss 5-4,-0.347,-0.007,-0.156,0,-0.041
5,Night,Ssid,Emerald,CH,Es 5-2,-0.882,-0.012,-0.287,-0.602,-0.106
5,Night,Ssid,MacNorth,CH,Ms 5-2,-0.517,-0.033,-0.371,-0.274,-0.094
5,Night,Ssid,Rainbow,CH,Rs 5-2,-0.753,-0.019,-0.32,-0.42,-0.104
5,Night,Ssid,Star,CH,Ss 5-2,-0.997,-0.019,-0.309,-0.102,-0.09
6,Night,Ofav,Emerald,CH,Eo 5-2,-0.091,0.006,-0.359,-0.287,-0.05
6,Night,Ofav,MacNorth,CH,Mo 5-2,-0.01,0.007,-0.346,-0.234,-0.033
6,Night,Ofav,Rainbow,CH,Ro 5-2,-0.041,0.004,-0.542,-0.559,-0.064
6,Night,Ofav,Star,CH,So 5-2,0.04,0.01,-0.319,-0.059,-0.035
8,Night,Ofav,Emerald,LH,Eo 5-4,-0.465,0,-0.199,-0.395,0.059
8,Night,Ofav,MacNorth,LH,Mo 5-4,-0.253,-0.007,0.245,-0.221,0.147
8,Night,Ofav,Rainbow,LH,Ro 5-4,-0.523,-0.01,-0.152,-0.521,0.08
8,Night,Ofav,Star,LH,So 5-4,-0.307,-0.002,-0.165,-0.315,0.101
