gene,lpv
Ofaveolata000002,0
Ofaveolata000003,0
Ofaveolata000004,0
Ofaveolata000005,0
Ofaveolata000006,0
Ofaveolata000007,0
Ofaveolata000008,0
Ofaveolata000009,0
Ofaveolata000010,0
Ofaveolata000011,0
Ofaveolata000012,0
Ofaveolata000013,0
Ofaveolata000014,0
Ofaveolata000015,0
Ofaveolata000016,0
Ofaveolata000017,0
Ofaveolata000018,0
Ofaveolata000019,0
Ofaveolata000020,0
Ofaveolata000021,0
Ofaveolata000022,0
Ofaveolata000023,0
Ofaveolata000028,0
Ofaveolata000029,0
Ofaveolata000030,0
Ofaveolata000032,0
Ofaveolata000033,0
Ofaveolata000036,0
Ofaveolata000037,0
Ofaveolata000038,0
Ofaveolata000039,0
Ofaveolata000040,0
Ofaveolata000041,0
Ofaveolata000042,0
Ofaveolata000043,0
Ofaveolata000044,0
Ofaveolata000045,0
Ofaveolata000046,0
Ofaveolata000047,0
Ofaveolata000048,0
Ofaveolata000049,0
Ofaveolata000050,0
Ofaveolata000051,0
Ofaveolata000052,0
Ofaveolata000053,0
Ofaveolata000054,0
Ofaveolata000055,0.095518165032412
Ofaveolata000056,0
Ofaveolata000057,0
Ofaveolata000058,0
Ofaveolata000059,0
Ofaveolata000060,0
Ofaveolata000061,0
Ofaveolata000062,0
Ofaveolata000063,0
Ofaveolata000064,0
Ofaveolata000066,0
Ofaveolata000069,0
Ofaveolata000070,0
Ofaveolata000071,0
Ofaveolata000072,0
Ofaveolata000073,0
Ofaveolata000074,0
Ofaveolata000075,0
Ofaveolata000076,0
Ofaveolata000077,0
Ofaveolata000079,0
Ofaveolata000080,0
Ofaveolata000082,0
Ofaveolata000083,0
Ofaveolata000084,0
Ofaveolata000085,0
Ofaveolata000086,0
Ofaveolata000087,0
Ofaveolata000088,0
Ofaveolata000089,0
Ofaveolata000090,0
Ofaveolata000091,0
Ofaveolata000092,0
Ofaveolata000093,0
Ofaveolata000095,0
Ofaveolata000096,0
Ofaveolata000097,0
Ofaveolata000099,0
Ofaveolata000100,0
Ofaveolata000101,0
Ofaveolata000102,0
Ofaveolata000103,0
Ofaveolata000104,0
Ofaveolata000106,0
Ofaveolata000107,0
Ofaveolata000108,0
Ofaveolata000109,0
Ofaveolata000110,0
Ofaveolata000111,0
Ofaveolata000113,0
Ofaveolata000114,0
Ofaveolata000115,0
Ofaveolata000116,0
Ofaveolata000117,0
Ofaveolata000118,0
Ofaveolata000119,0
Ofaveolata000120,0
Ofaveolata000121,0
Ofaveolata000124,0
Ofaveolata000125,0
Ofaveolata000126,0
Ofaveolata000127,0
Ofaveolata000128,0
Ofaveolata000129,0
Ofaveolata000130,0
Ofaveolata000131,0
Ofaveolata000132,0
Ofaveolata000134,0
Ofaveolata000136,0
Ofaveolata000137,0
Ofaveolata000138,0
Ofaveolata000139,0
Ofaveolata000140,0
Ofaveolata000141,0
Ofaveolata000142,0
Ofaveolata000143,0
Ofaveolata000144,0
Ofaveolata000145,0
Ofaveolata000146,0
Ofaveolata000147,0
Ofaveolata000148,0
Ofaveolata000149,0
Ofaveolata000150,0
Ofaveolata000151,0
Ofaveolata000152,0
Ofaveolata000153,0
Ofaveolata000154,0
Ofaveolata000155,0
Ofaveolata000157,0
Ofaveolata000159,0
Ofaveolata000160,0
Ofaveolata000161,0
Ofaveolata000162,0
Ofaveolata000163,0
Ofaveolata000164,0
Ofaveolata000165,0
Ofaveolata000166,0
Ofaveolata000167,0
Ofaveolata000168,0
Ofaveolata000170,0
Ofaveolata000171,0
Ofaveolata000172,0
Ofaveolata000173,0
Ofaveolata000174,0
Ofaveolata000175,0
Ofaveolata000176,0
Ofaveolata000177,0
Ofaveolata000178,0
Ofaveolata000179,0
Ofaveolata000180,0
Ofaveolata000181,0
Ofaveolata000182,0
Ofaveolata000183,0
Ofaveolata000184,0
Ofaveolata000185,0
Ofaveolata000186,0
Ofaveolata000187,0
Ofaveolata000188,0
Ofaveolata000189,0
Ofaveolata000190,0
Ofaveolata000191,0
Ofaveolata000192,0
Ofaveolata000193,0
Ofaveolata000194,0
Ofaveolata000195,0
Ofaveolata000196,0
Ofaveolata000197,0
Ofaveolata000198,0
Ofaveolata000199,0
Ofaveolata000200,0
Ofaveolata000201,0
Ofaveolata000202,0
Ofaveolata000203,0
Ofaveolata000204,0
Ofaveolata000205,0
Ofaveolata000206,0
Ofaveolata000207,0
Ofaveolata000209,0
Ofaveolata000210,0
Ofaveolata000213,0
Ofaveolata000214,0
Ofaveolata000215,0
Ofaveolata000216,0
Ofaveolata000217,0
Ofaveolata000218,0
Ofaveolata000220,0
Ofaveolata000221,0
Ofaveolata000222,0
Ofaveolata000223,0
Ofaveolata000225,0
Ofaveolata000226,0
Ofaveolata000227,-0.40156766107203
Ofaveolata000228,0
Ofaveolata000229,0
Ofaveolata000230,0
Ofaveolata000231,0
Ofaveolata000232,0
Ofaveolata000233,0
Ofaveolata000234,0
Ofaveolata000235,0
Ofaveolata000236,0
Ofaveolata000237,0
Ofaveolata000238,0
Ofaveolata000239,0
Ofaveolata000240,0
Ofaveolata000241,0
Ofaveolata000242,0
Ofaveolata000243,0
Ofaveolata000245,0
Ofaveolata000246,0
Ofaveolata000247,0
Ofaveolata000248,0
Ofaveolata000249,0
Ofaveolata000250,0
Ofaveolata000251,0
Ofaveolata000252,0
Ofaveolata000253,0
Ofaveolata000254,0
Ofaveolata000255,0
Ofaveolata000256,0
Ofaveolata000257,0
Ofaveolata000258,0
Ofaveolata000259,0
Ofaveolata000260,0
Ofaveolata000261,0
Ofaveolata000262,0
Ofaveolata000263,0
Ofaveolata000264,0
Ofaveolata000265,0
Ofaveolata000266,0
Ofaveolata000267,0
Ofaveolata000268,0
Ofaveolata000269,0
Ofaveolata000271,0
Ofaveolata000272,0
Ofaveolata000273,0
Ofaveolata000274,0
Ofaveolata000275,0
Ofaveolata000276,0
Ofaveolata000277,0
Ofaveolata000279,0
Ofaveolata000280,0
Ofaveolata000283,0
Ofaveolata000284,0
Ofaveolata000287,0
Ofaveolata000290,0
Ofaveolata000291,0
Ofaveolata000292,0
Ofaveolata000293,0
Ofaveolata000294,0
Ofaveolata000295,0
Ofaveolata000296,0
Ofaveolata000297,0
Ofaveolata000298,0
Ofaveolata000299,0
Ofaveolata000300,0
Ofaveolata000301,0
Ofaveolata000302,0
Ofaveolata000303,0
Ofaveolata000304,0
Ofaveolata000305,0
Ofaveolata000306,0
Ofaveolata000307,0
Ofaveolata000308,0
Ofaveolata000309,0
Ofaveolata000310,0
Ofaveolata000311,0
Ofaveolata000312,0
Ofaveolata000314,0
Ofaveolata000315,0
Ofaveolata000316,0
Ofaveolata000317,0
Ofaveolata000318,0
Ofaveolata000319,0
Ofaveolata000320,0
Ofaveolata000321,0
Ofaveolata000322,0
Ofaveolata000323,0
Ofaveolata000324,0
Ofaveolata000325,0
Ofaveolata000326,0
Ofaveolata000327,0
Ofaveolata000328,0
Ofaveolata000329,0
Ofaveolata000330,0
Ofaveolata000331,0
Ofaveolata000332,0
Ofaveolata000333,0
Ofaveolata000334,0
Ofaveolata000335,0
Ofaveolata000336,0
Ofaveolata000337,0
Ofaveolata000338,0
Ofaveolata000339,0
Ofaveolata000340,0
Ofaveolata000341,0
Ofaveolata000342,0
Ofaveolata000343,0
Ofaveolata000344,0
Ofaveolata000345,0
Ofaveolata000346,0
Ofaveolata000347,0
Ofaveolata000348,0
Ofaveolata000349,0
Ofaveolata000351,0
Ofaveolata000352,0
Ofaveolata000353,0
Ofaveolata000354,0
Ofaveolata000355,0
Ofaveolata000356,0
Ofaveolata000357,0
Ofaveolata000358,0
Ofaveolata000359,0
Ofaveolata000360,0
Ofaveolata000362,0
Ofaveolata000364,0
Ofaveolata000365,0
Ofaveolata000367,0
Ofaveolata000368,0
Ofaveolata000369,0
Ofaveolata000370,0
Ofaveolata000371,0
Ofaveolata000372,0
Ofaveolata000373,0
Ofaveolata000374,0
Ofaveolata000375,0
Ofaveolata000376,0
Ofaveolata000377,0
Ofaveolata000378,0
Ofaveolata000379,0
Ofaveolata000380,0
Ofaveolata000381,0
Ofaveolata000382,0
Ofaveolata000383,0
Ofaveolata000384,0
Ofaveolata000385,0
Ofaveolata000386,0
Ofaveolata000387,0
Ofaveolata000388,0
Ofaveolata000389,0
Ofaveolata000390,0
Ofaveolata000391,0
Ofaveolata000392,0
Ofaveolata000393,0
Ofaveolata000394,0
Ofaveolata000397,0
Ofaveolata000398,0
Ofaveolata000401,0
Ofaveolata000403,0
Ofaveolata000405,0
Ofaveolata000406,0
Ofaveolata000407,0
Ofaveolata000408,0
Ofaveolata000409,0
Ofaveolata000411,0
Ofaveolata000412,0
Ofaveolata000413,0
Ofaveolata000414,0
Ofaveolata000415,0
Ofaveolata000416,0
Ofaveolata000417,0
Ofaveolata000418,0
Ofaveolata000419,0
Ofaveolata000420,0
Ofaveolata000421,0
Ofaveolata000422,0
Ofaveolata000423,0
Ofaveolata000426,0
Ofaveolata000429,0
Ofaveolata000430,0
Ofaveolata000431,0
Ofaveolata000432,0
Ofaveolata000433,0
Ofaveolata000434,0
Ofaveolata000435,0
Ofaveolata000436,0
Ofaveolata000437,0
Ofaveolata000438,0
Ofaveolata000439,0
Ofaveolata000441,0
Ofaveolata000442,0
Ofaveolata000443,0
Ofaveolata000444,0
Ofaveolata000445,0
Ofaveolata000446,0
Ofaveolata000448,0
Ofaveolata000449,0
Ofaveolata000452,0
Ofaveolata000453,0
Ofaveolata000454,0
Ofaveolata000455,0
Ofaveolata000456,0
Ofaveolata000457,0
Ofaveolata000461,0
Ofaveolata000462,0
Ofaveolata000463,0
Ofaveolata000464,0
Ofaveolata000465,0
Ofaveolata000466,0
Ofaveolata000467,0
Ofaveolata000468,0
Ofaveolata000469,0
Ofaveolata000470,0
Ofaveolata000471,0
Ofaveolata000472,0
Ofaveolata000474,0
Ofaveolata000475,0
Ofaveolata000476,0
Ofaveolata000477,0
Ofaveolata000479,0
Ofaveolata000480,0
Ofaveolata000481,0
Ofaveolata000484,0
Ofaveolata000485,0
Ofaveolata000486,0
Ofaveolata000487,0
Ofaveolata000488,0
Ofaveolata000489,0
Ofaveolata000490,0
Ofaveolata000492,0
Ofaveolata000493,0
Ofaveolata000494,0
Ofaveolata000500,0
Ofaveolata000503,0
Ofaveolata000505,0
Ofaveolata000506,0
Ofaveolata000509,0
Ofaveolata000511,0
Ofaveolata000512,0
Ofaveolata000513,0
Ofaveolata000514,0
Ofaveolata000515,0
Ofaveolata000516,0
Ofaveolata000518,0
Ofaveolata000519,0
Ofaveolata000520,0
Ofaveolata000521,0
Ofaveolata000522,0
Ofaveolata000523,0
Ofaveolata000524,0
Ofaveolata000525,0
Ofaveolata000526,0
Ofaveolata000527,0
Ofaveolata000528,0
Ofaveolata000530,0
Ofaveolata000531,0
Ofaveolata000532,0
Ofaveolata000533,0
Ofaveolata000535,0
Ofaveolata000536,0
Ofaveolata000537,0
Ofaveolata000538,0
Ofaveolata000539,0
Ofaveolata000540,0
Ofaveolata000541,0
Ofaveolata000542,0
Ofaveolata000543,0
Ofaveolata000544,0
Ofaveolata000545,0
Ofaveolata000547,0
Ofaveolata000548,0
Ofaveolata000549,0
Ofaveolata000550,0
Ofaveolata000551,0
Ofaveolata000552,0
Ofaveolata000553,0
Ofaveolata000554,0
Ofaveolata000556,0
Ofaveolata000557,0
Ofaveolata000558,0
Ofaveolata000559,0
Ofaveolata000560,0
Ofaveolata000561,0
Ofaveolata000562,0
Ofaveolata000563,0
Ofaveolata000567,0
Ofaveolata000568,0
Ofaveolata000569,0
Ofaveolata000570,0
Ofaveolata000571,0
Ofaveolata000572,0
Ofaveolata000574,0
Ofaveolata000575,0
Ofaveolata000576,0
Ofaveolata000577,0
Ofaveolata000578,0
Ofaveolata000579,0
Ofaveolata000580,0
Ofaveolata000581,0
Ofaveolata000582,0
Ofaveolata000583,0
Ofaveolata000584,0
