gene,lpv
Ofaveolata000002,-0.13382475142381
Ofaveolata000003,-0.0781217378240293
Ofaveolata000004,0.0505353907002992
Ofaveolata000005,NA
Ofaveolata000006,0.345484703165938
Ofaveolata000007,NA
Ofaveolata000008,NA
Ofaveolata000009,0.0136405360664599
Ofaveolata000010,0.0601117316219408
Ofaveolata000011,0.0136114416358395
Ofaveolata000012,-0.0112148939857066
Ofaveolata000013,0.0695012531855124
Ofaveolata000014,1.38485032937516
Ofaveolata000015,-0.0127790683393458
Ofaveolata000016,-0.275810313886778
Ofaveolata000017,NA
Ofaveolata000018,0.0925417092056268
Ofaveolata000019,-0.0602093220767128
Ofaveolata000020,0.125269487591524
Ofaveolata000021,0.0363381516984414
Ofaveolata000022,-0.053415618522264
Ofaveolata000023,0.0471621783444756
Ofaveolata000028,-0.0710914554060567
Ofaveolata000029,0.0770943133336999
Ofaveolata000030,NA
Ofaveolata000032,-0.0278782838278171
Ofaveolata000033,NA
Ofaveolata000036,-0.0708208927943336
Ofaveolata000037,-0.0500614863019983
Ofaveolata000038,NA
Ofaveolata000039,-0.000931988463428696
Ofaveolata000040,NA
Ofaveolata000041,-0.17059861644556
Ofaveolata000042,-0.00529714055133825
Ofaveolata000043,NA
Ofaveolata000044,0.0736048502763618
Ofaveolata000045,0.367870650210484
Ofaveolata000046,-0.0505083460531311
Ofaveolata000047,-0.12644036830684
Ofaveolata000048,-0.0092787229168812
Ofaveolata000049,-1.04961882649042
Ofaveolata000050,0.255493908851525
Ofaveolata000051,1.01789336292117
Ofaveolata000052,-0.0285022589275396
Ofaveolata000053,-0.172520115465902
Ofaveolata000054,0.0253143065653429
Ofaveolata000055,-0.38988043590111
Ofaveolata000056,NA
Ofaveolata000057,0.25544174389581
Ofaveolata000058,0.276629428548065
Ofaveolata000059,0.186546076006858
Ofaveolata000060,-0.0344384807725358
Ofaveolata000061,-0.0395120354174886
Ofaveolata000062,-3.35060498876789
Ofaveolata000063,0.446029491459028
Ofaveolata000064,0.21992933653945
Ofaveolata000066,-0.199531184340072
Ofaveolata000069,0.0515468223085361
Ofaveolata000070,-0.00369819655097959
Ofaveolata000071,-0.0699959291884205
Ofaveolata000072,-0.0754048565773416
Ofaveolata000073,0.464514626917686
Ofaveolata000074,0.0702764138873459
Ofaveolata000075,0.0034920133939984
Ofaveolata000076,-0.00420010085216998
Ofaveolata000077,-0.464926538401496
Ofaveolata000079,-0.140913801736298
Ofaveolata000080,0.254708438565979
Ofaveolata000082,0.0845212249442763
Ofaveolata000083,0.183937657148673
Ofaveolata000084,-0.0502792220206516
Ofaveolata000085,0.0623262642824972
Ofaveolata000086,0.0227600084265013
Ofaveolata000087,-0.0925417092056268
Ofaveolata000088,NA
Ofaveolata000089,-0.0155717568061851
Ofaveolata000090,-0.0166324943916384
Ofaveolata000091,-0.57036491521557
Ofaveolata000092,-0.25596868794711
Ofaveolata000093,NA
Ofaveolata000095,-0.0608825409463717
Ofaveolata000096,-0.046116291674949
Ofaveolata000097,0.0288068558521221
Ofaveolata000099,-0.00539079669037771
Ofaveolata000100,0.00808858592259701
Ofaveolata000101,-0.502617519891893
Ofaveolata000102,0.274813520727277
Ofaveolata000103,NA
Ofaveolata000104,0.165958696359747
Ofaveolata000106,-0.127589177577929
Ofaveolata000107,0.00234861186810631
Ofaveolata000108,-0.253587218908703
Ofaveolata000109,0.0314224993815098
Ofaveolata000110,-0.0557258730768015
Ofaveolata000111,0.0392417626709186
Ofaveolata000113,-0.292806601824692
Ofaveolata000114,-0.0714998405196841
Ofaveolata000115,NA
Ofaveolata000116,NA
Ofaveolata000117,0.0856759614044068
Ofaveolata000118,NA
Ofaveolata000119,-0.0281980879737394
Ofaveolata000120,NA
Ofaveolata000121,NA
Ofaveolata000124,-0.101251182138061
Ofaveolata000125,0.0504160932817925
