"row_label","comparison","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.LH_CC"
"Bleaching vs OA_1","Bleaching vs OA","Ofaveolata000053",2.70940856596791,-6.92656780806262,"protein-disulfide reductase (glutathione) activity",NA,2.70940856596791,-6.92656780806262,"Inverse",2.70940856596791,6.92656780806262,4.21715924209471,0.00195250176002794,1.18421945583795e-07,16487.6683152141,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_2","Bleaching vs OA","Ofaveolata000449",1.94042193194724,-14.6163340889082,"Lactose-binding lectin l-2-like","Signal transduction mechanisms",1.94042193194724,-14.6163340889082,"Inverse",1.94042193194724,14.6163340889082,12.675912156961,0.0114703869265644,2.41916734239175e-15,4741460718969.54,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_3","Bleaching vs OA","Ofaveolata000592",-1.68597606440008,1.00937007709726,"Transmembrane protein 173",NA,-1.68597606440008,1.00937007709726,"Inverse",1.68597606440008,1.00937007709726,0.676605987302825,0.02060743485453,0.0978655684200919,4.7490417468712,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_4","Bleaching vs OA","Ofaveolata000742",1.53082792577287,-1.53789789137527,"peptidase inhibitor activity","",1.53082792577287,-1.53789789137527,"Inverse",1.53082792577287,1.53789789137527,0.00706996560240358,0.029455884905848,0.028980248732406,1.01641242550517,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_5","Bleaching vs OA","Ofaveolata000952",3.24012252413146,-1.40335512254453,NA,NA,3.24012252413146,-1.40335512254453,"Inverse",3.24012252413146,1.40335512254453,1.83676740158693,0.000575277615832161,0.0395043460973024,68.6700560044524,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_6","Bleaching vs OA","Ofaveolata000959",3.43805898535207,-1.13365634543454,NA,NA,3.43805898535207,-1.13365634543454,"Inverse",3.43805898535207,1.13365634543454,2.30440263991754,0.000364704409849126,0.0735095314502579,201.559206483596,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_7","Bleaching vs OA","Ofaveolata000962",1.6182731455652,-7.8110396131437,NA,NA,1.6182731455652,-7.8110396131437,"Inverse",1.6182731455652,7.8110396131437,6.1927664675785,0.0240839021712056,1.5451134992384e-08,1558714.11278697,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_8","Bleaching vs OA","Ofaveolata000965",1.44631796518218,-1.36815044942338,NA,NA,1.44631796518218,-1.36815044942338,"Inverse",1.44631796518218,1.36815044942338,0.0781675157587969,0.0357834355652995,0.0428400087216769,1.19720222625075,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_9","Bleaching vs OA","Ofaveolata001202",2.44463425877493,-10.5984634754027,NA,NA,2.44463425877493,-10.5984634754027,"Inverse",2.44463425877493,10.5984634754027,8.15382921662778,0.00359224328169862,2.52078917159768e-11,142504709.325685,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_10","Bleaching vs OA","Ofaveolata001455",1.03347590255697,-1.41208985816606,"transmembrane transport","Carbohydrate transport and metabolism",1.03347590255697,-1.41208985816606,"Inverse",1.03347590255697,1.41208985816606,0.378613955609088,0.0925814753835564,0.0387177527251518,2.39118928313765,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
