"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1","Ofaveolata000014",1.38485032937516,2.83112620647413,NA,NA,NA,NA
"2","Ofaveolata000049",-1.04961882649042,-2.19039700902315,NA,NA,NA,NA
"3","Ofaveolata000062",-3.35060498876789,-2.32275006015868,"cell septum assembly","Intracellular trafficking, secretion, and vesicular transport",NA,NA
"4","Ofaveolata000164",-4.32644058365297,-2.11298342194552,NA,NA,NA,NA
"5","Ofaveolata000236",1.18882853701278,1.58025141630134,NA,NA,NA,NA
"6","Ofaveolata000275",1.38522797232546,1.28884163489186,NA,NA,NA,NA
"7","Ofaveolata000276",-1.54120644005056,-4.71363693537402,"MafB19-like deaminase","",NA,NA
"8","Ofaveolata000339",-1.63710470672312,-1.78972049452129,"positive regulation of bone development",NA,NA,NA
"9","Ofaveolata000351",1.04101389016393,7.42010811016045,NA,NA,NA,NA
"10","Ofaveolata000390",-1.76555765698258,-2.1578663492153,NA,NA,NA,NA
"11","Ofaveolata000461",1.84358293546864,4.82883610846037,NA,NA,NA,NA
"12","Ofaveolata000526",-1.82564996009852,-1.40881008942281,NA,NA,NA,NA
"13","Ofaveolata000539",-1.41532319979056,-2.45423143759254,NA,NA,NA,NA
"14","Ofaveolata000556",1.69086057679119,4.56011339041374,"G-protein coupled receptor activity","Signal transduction mechanisms",NA,NA
"15","Ofaveolata000560",-2.26011422611883,1.1775829585757,NA,NA,NA,NA
"16","Ofaveolata000579",1.90597198529873,1.58938311567207,"tetratricopeptide repeat protein 14",NA,NA,NA
"17","Ofaveolata000715",1.92955972042858,1.01151572997532,NA,NA,NA,NA
"18","Ofaveolata000728",1.04773755289226,1.23043831963653,"translation regulator activity","RNA processing and modification",NA,NA
"19","Ofaveolata000830",-1.23838249313702,-14.6227863710687,NA,NA,NA,NA
"20","Ofaveolata000836",2.1834490939618,10.2267491563068,"assembly factor 2",NA,NA,NA
"21","Ofaveolata000855",-1.22864727912665,-1.29707252834366,"E3 ubiquitin-protein ligase",NA,NA,NA
"22","Ofaveolata000877",1.35521316571964,2.64919169785966,"homeobox","Transcription",NA,NA
"23","Ofaveolata000882",-1.02188825654434,-2.57229598380552,"cortical actin cytoskeleton organization","Replication, recombination and repair",NA,NA
"24","Ofaveolata000918",1.33771362941936,7.61799341425082,"Solute carrier organic anion transporter family, member","Secondary metabolites biosynthesis, transport and catabolism",NA,NA
"25","Ofaveolata001125",-1.78483430074928,-5.7346705819822,NA,NA,NA,NA
"26","Ofaveolata001142",-1.90565828116282,-6.96858122752843,"7 transmembrane receptor (rhodopsin family)","Signal transduction mechanisms",NA,NA
"27","Ofaveolata001244",1.41889254485423,5.647152225267,"fibroblast growth factor-activated receptor activity","Signal transduction mechanisms",NA,NA
"28","Ofaveolata001258",1.29411441270877,1.34434625913302,"homophilic cell adhesion via plasma membrane adhesion molecules","Posttranslational modification, protein turnover, chaperones",NA,NA
"29","Ofaveolata001445",-1.2514943254452,-4.34899656037272,"protein transport","Posttranslational modification, protein turnover, chaperones",NA,NA
"30","Ofaveolata001684",-1.44011342420794,-3.9045866630773,NA,NA,NA,NA
"31","Ofaveolata001761",-2.79348989730807,-2.44383482551109,"acidic dipeptidase","",NA,NA
"32","Ofaveolata001784",-1.40113286670463,-2.67556375930812,"non-haem dioxygenase in morphine synthesis N-terminal","Secondary metabolites biosynthesis, transport and catabolism",NA,NA
"33","Ofaveolata001906",1.22636094331121,2.26259653245714,"dCMP deaminase activity. It is involved in the biological process described with pyrimidine nucleotide metabolic process","Nucleotide transport and metabolism",NA,NA
"34","Ofaveolata001924",1.38702651314676,3.77656073011328,NA,NA,NA,NA
