gene,Fish_kME
Ofaveolata000002,0
Ofaveolata000004,0
Ofaveolata000006,0
Ofaveolata000009,0
Ofaveolata000010,0
Ofaveolata000011,0.377651640364
Ofaveolata000012,0.553200731928615
Ofaveolata000013,0.355937214321493
Ofaveolata000014,0
Ofaveolata000015,0
Ofaveolata000016,0.395124978198829
Ofaveolata000018,0
Ofaveolata000019,0
Ofaveolata000020,0
Ofaveolata000021,0.518568174156728
Ofaveolata000022,0
Ofaveolata000023,0
Ofaveolata000028,0.602557800845018
Ofaveolata000037,0
Ofaveolata000039,0
Ofaveolata000042,0
Ofaveolata000045,0
Ofaveolata000047,0
Ofaveolata000048,0.470220727635754
Ofaveolata000049,0
Ofaveolata000050,0
Ofaveolata000051,0
Ofaveolata000052,0
Ofaveolata000053,0
Ofaveolata000057,0.411654934780306
Ofaveolata000058,0.51021207704712
Ofaveolata000059,0
Ofaveolata000061,0
Ofaveolata000062,0.153262766392616
Ofaveolata000063,0.808201087545513
Ofaveolata000066,0
Ofaveolata000069,0
Ofaveolata000072,0
Ofaveolata000073,0.411373196421008
Ofaveolata000074,0
Ofaveolata000075,0.502549848879714
Ofaveolata000076,0
Ofaveolata000077,0
Ofaveolata000079,0
Ofaveolata000080,0
Ofaveolata000082,0
Ofaveolata000083,0
Ofaveolata000085,0
Ofaveolata000086,0
Ofaveolata000087,0
Ofaveolata000089,0
Ofaveolata000091,0
Ofaveolata000095,0
Ofaveolata000096,0.439600933067907
Ofaveolata000097,0.843467828177863
Ofaveolata000099,0
Ofaveolata000100,0
Ofaveolata000101,0
Ofaveolata000102,0
Ofaveolata000104,0
Ofaveolata000105,0
Ofaveolata000106,0.734700202068745
Ofaveolata000107,0.752597638877813
Ofaveolata000108,0
Ofaveolata000109,0
Ofaveolata000113,0
Ofaveolata000114,0
Ofaveolata000117,0
Ofaveolata000124,0.545681833931261
Ofaveolata000125,0
Ofaveolata000126,0.614936373421093
Ofaveolata000127,0
Ofaveolata000128,0
Ofaveolata000129,0.53042007401321
Ofaveolata000131,0
Ofaveolata000132,0.231745292730173
Ofaveolata000134,0.599074437783881
Ofaveolata000136,0
Ofaveolata000137,0
Ofaveolata000138,0
Ofaveolata000139,0.386958497047247
Ofaveolata000140,0
Ofaveolata000141,0
Ofaveolata000143,0
Ofaveolata000144,0.381431172659421
Ofaveolata000145,0
Ofaveolata000146,0.580874793533894
Ofaveolata000147,0
Ofaveolata000148,0
Ofaveolata000150,0
Ofaveolata000151,0.498073252806781
Ofaveolata000152,0
Ofaveolata000153,0
Ofaveolata000154,0
Ofaveolata000160,0
Ofaveolata000161,0.800785784261289
Ofaveolata000162,0
Ofaveolata000163,0
Ofaveolata000164,0
Ofaveolata000166,0
Ofaveolata000172,0
Ofaveolata000173,0
Ofaveolata000174,0.627123591612004
Ofaveolata000175,0.47254952903004
Ofaveolata000176,0
Ofaveolata000179,0.372402003448197
Ofaveolata000187,0.531781470287727
Ofaveolata000188,0.667329579043621
Ofaveolata000189,0
Ofaveolata000190,0
Ofaveolata000192,0
Ofaveolata000194,0.212001578761044
Ofaveolata000195,0
Ofaveolata000196,0
Ofaveolata000197,0
Ofaveolata000198,0.678944747080319
Ofaveolata000199,0.593637488979006
Ofaveolata000200,0
Ofaveolata000201,0
Ofaveolata000203,0
Ofaveolata000204,0
Ofaveolata000205,0
Ofaveolata000213,0
Ofaveolata000214,0
Ofaveolata000215,0
Ofaveolata000216,0.333603192199371
Ofaveolata000218,0
Ofaveolata000220,0
Ofaveolata000221,0.290209741047259
Ofaveolata000222,0
Ofaveolata000223,0.582182600993919
Ofaveolata000225,0
Ofaveolata000226,0.346108760079936
Ofaveolata000227,0
Ofaveolata000228,0
Ofaveolata000229,0.40537645348428
Ofaveolata000230,0
Ofaveolata000233,0
Ofaveolata000234,0
Ofaveolata000236,0
Ofaveolata000240,0.321575254700086
Ofaveolata000241,0
Ofaveolata000242,0.409158900810507
Ofaveolata000243,0
Ofaveolata000245,0
Ofaveolata000247,0
Ofaveolata000248,0
Ofaveolata000249,0
Ofaveolata000250,0.681606025961173
Ofaveolata000251,0
Ofaveolata000252,0
Ofaveolata000254,0
Ofaveolata000255,0
Ofaveolata000256,0
Ofaveolata000258,0
Ofaveolata000259,0
Ofaveolata000260,0
Ofaveolata000261,0
Ofaveolata000262,0
Ofaveolata000263,0
Ofaveolata000265,0
Ofaveolata000268,0
Ofaveolata000271,0
Ofaveolata000272,0
Ofaveolata000273,0
Ofaveolata000275,0
Ofaveolata000276,0
Ofaveolata000277,0
Ofaveolata000279,0
Ofaveolata000292,0
Ofaveolata000298,0.207096580273824
Ofaveolata000299,0
Ofaveolata000300,0.339781970733526
Ofaveolata000302,0
Ofaveolata000304,0
Ofaveolata000305,0
Ofaveolata000307,0
Ofaveolata000309,0
Ofaveolata000311,0
Ofaveolata000312,0
Ofaveolata000316,0
Ofaveolata000317,0
Ofaveolata000324,0
Ofaveolata000325,0
Ofaveolata000326,0
Ofaveolata000327,0
Ofaveolata000328,0
Ofaveolata000330,0
Ofaveolata000333,0.294129293211859
Ofaveolata000334,0
Ofaveolata000335,0
Ofaveolata000336,0
Ofaveolata000337,0.728562152666609
Ofaveolata000338,0
Ofaveolata000339,0.278300325942824
Ofaveolata000340,0
Ofaveolata000341,0
Ofaveolata000342,0.4945520940454
Ofaveolata000345,0
Ofaveolata000346,0.644185573367125
Ofaveolata000347,0
Ofaveolata000348,0
Ofaveolata000349,0
Ofaveolata000351,0
Ofaveolata000352,0
Ofaveolata000353,0
Ofaveolata000355,0
Ofaveolata000356,0
Ofaveolata000357,0
Ofaveolata000358,0.329337828045773
Ofaveolata000360,0
Ofaveolata000362,0
Ofaveolata000363,0
Ofaveolata000364,0
Ofaveolata000367,0
Ofaveolata000368,0
Ofaveolata000369,0
Ofaveolata000370,0
Ofaveolata000371,0.794233732833293
Ofaveolata000376,0
Ofaveolata000378,0
Ofaveolata000379,0.741696358064898
Ofaveolata000381,0.681590868606568
Ofaveolata000382,0
Ofaveolata000384,0.499058472873553
Ofaveolata000385,0
Ofaveolata000387,0
Ofaveolata000389,0
Ofaveolata000390,0
Ofaveolata000392,0
Ofaveolata000394,0
Ofaveolata000397,0
Ofaveolata000401,0
Ofaveolata000403,0
Ofaveolata000405,0
Ofaveolata000407,0.32084612078131
Ofaveolata000408,0
Ofaveolata000409,0
Ofaveolata000411,0
Ofaveolata000413,0
Ofaveolata000414,0.298299262707976
Ofaveolata000415,0.435966609597477
Ofaveolata000418,0
Ofaveolata000419,0
Ofaveolata000420,0
Ofaveolata000421,0
Ofaveolata000422,0
Ofaveolata000429,0
Ofaveolata000430,0
Ofaveolata000431,0
Ofaveolata000432,0.19510917671934
Ofaveolata000434,0
Ofaveolata000435,0
Ofaveolata000436,0
Ofaveolata000437,0
Ofaveolata000438,0
Ofaveolata000439,0
Ofaveolata000441,0
Ofaveolata000442,0
Ofaveolata000443,0
Ofaveolata000445,0
Ofaveolata000448,0
Ofaveolata000449,0
Ofaveolata000452,0.330556013205885
Ofaveolata000453,0.627752656771308
Ofaveolata000454,0
Ofaveolata000456,0
Ofaveolata000457,0
Ofaveolata000462,0
Ofaveolata000464,0
Ofaveolata000465,0
Ofaveolata000467,0
Ofaveolata000468,0
Ofaveolata000471,0
Ofaveolata000472,0
Ofaveolata000473,0
Ofaveolata000474,0
Ofaveolata000475,0
Ofaveolata000476,0
Ofaveolata000480,0
Ofaveolata000484,0
Ofaveolata000485,0
Ofaveolata000486,0
Ofaveolata000487,0
Ofaveolata000489,0
Ofaveolata000490,0
Ofaveolata000506,0
Ofaveolata000509,0
Ofaveolata000512,0
Ofaveolata000514,0
Ofaveolata000515,0
Ofaveolata000516,0
Ofaveolata000518,0
Ofaveolata000519,0.364868014345744
Ofaveolata000520,0
Ofaveolata000521,0
Ofaveolata000523,0
Ofaveolata000525,0.466925184237314
Ofaveolata000526,0.347383950612385
Ofaveolata000527,0
Ofaveolata000530,0
Ofaveolata000531,0
Ofaveolata000533,0
