"","count","site"
"Ofav_080",193.371414745573,"Emerald"
"Ofav_081",134.702459756022,"Emerald"
"Ofav_082",233.539449721256,"Emerald"
"Ofav_083",199.501509766665,"Emerald"
"Ofav_084",136.863122217932,"Rainbow"
"Ofav_085",194.247363393712,"Rainbow"
"Ofav_086",195.753078325456,"Rainbow"
"Ofav_087",336.275722473686,"Star"
"Ofav_088",123.941248583324,"Star"
"Ofav_089",273.558326872511,"Star"
"Ofav_090",170.151375319422,"MacN"
"Ofav_091",164.592119919287,"MacN"
"Ofav_092",248.316076372427,"MacN"
"Ofav_093",205.761539843835,"MacN"
"Ofav_094",227.578860718494,"Emerald"
"Ofav_095",172.079108173451,"Emerald"
"Ofav_096",192.709173108459,"Emerald"
"Ofav_097",310.310960315688,"Emerald"
"Ofav_098",135.044864944229,"Emerald"
"Ofav_099",248.875454200099,"Rainbow"
"Ofav_100",140.730916099104,"Rainbow"
"Ofav_101",185.550476485759,"Rainbow"
"Ofav_102",197.608871512844,"Rainbow"
"Ofav_103",182.446888482305,"Rainbow"
"Ofav_104",263.594633774599,"Star"
"Ofav_105",157.810963146672,"Star"
"Ofav_106",170.119280133065,"Star"
"Ofav_107",214.440846342135,"Star"
"Ofav_108",138.576073458229,"Star"
"Ofav_110",179.437217563039,"MacN"
"Ofav_111",276.565436899487,"MacN"
"Ofav_112",177.058061622111,"MacN"
"Ofav_113",265.520682938764,"MacN"
"Ofav_114",179.868612950867,"MacN"
"Ofav_115",189.223352743736,"Emerald"
"Ofav_116",250.503696792809,"Emerald"
"Ofav_117",494.489734612854,"Emerald"
"Ofav_118",153.06866598474,"Emerald"
"Ofav_119",204.651626384082,"Rainbow"
"Ofav_120",170.853536230488,"Rainbow"
"Ofav_121",310.713601636876,"Rainbow"
"Ofav_122",316.414029815078,"Star"
"Ofav_123",212.652125902346,"Star"
"Ofav_124",233.293935304528,"Star"
"Ofav_126",127.813527780526,"Star"
"Ofav_127",178.607279976315,"MacN"
"Ofav_128",144.296593525138,"MacN"
"Ofav_129",218.625902749071,"MacN"
"Ofav_130",159.587669975122,"MacN"
"Ofav_132",449.421959291303,"Emerald"
"Ofav_133",278.047030780079,"Emerald"
"Ofav_153",393.105211384197,"Emerald"
"Ofav_154",241.330217572062,"Emerald"
"Ofav_134",356.745574195659,"Rainbow"
"Ofav_155",234.057233435865,"Rainbow"
"Ofav_156",199.375723028076,"Star"
"Ofav_157",220.856530527626,"Star"
"Ofav_158",209.922801622469,"Star"
"Ofav_159",237.350090954871,"Star"
"Ofav_136",139.700330980302,"MacN"
"Ofav_137",189.62464620583,"MacN"
"Ofav_138",243.342929766711,"MacN"
"Ofav_160",150.233743291847,"MacN"
"Ofav_161",166.821705699028,"MacN"
"Ofav_162",183.065994352578,"MacN"
"Ofav_163",155.179090272853,"MacN"
