"","count","site"
"Ssid_001",60.4666156506407,"Emerald"
"Ssid_002",43.1185900949353,"Emerald"
"Ssid_003",48.0071477005244,"Emerald"
"Ssid_004",31.7826781524061,"Emerald"
"Ssid_005",54.6969506843413,"Emerald"
"Ssid_006",58.4626688666223,"Rainbow"
"Ssid_007",40.6695926853548,"Rainbow"
"Ssid_008",44.3131532480414,"Rainbow"
"Ssid_009",36.3768028340516,"Rainbow"
"Ssid_010",34.5810690635596,"Rainbow"
"Ssid_011",72.3012835132647,"Star"
"Ssid_012",32.3897392965587,"Star"
"Ssid_013",40.5615531201212,"Star"
"Ssid_014",59.3121360615968,"Star"
"Ssid_015",104.903255009296,"Star"
"Ssid_016",70.582714385909,"MacN"
"Ssid_017",89.532172110359,"MacN"
"Ssid_018",21.90012652483,"MacN"
"Ssid_019",50.2443550621169,"MacN"
"Ssid_020",62.0168594831403,"Emerald"
"Ssid_021",44.514092324959,"Emerald"
"Ssid_022",41.5050646866726,"Emerald"
"Ssid_023",26.4438357565176,"Emerald"
"Ssid_024",48.1766716131109,"Emerald"
"Ssid_025",95.0664692217454,"Rainbow"
"Ssid_026",46.3327921792965,"Rainbow"
"Ssid_027",55.7362324927128,"Rainbow"
"Ssid_028",52.7183523007746,"Rainbow"
"Ssid_029",34.735861073445,"Rainbow"
"Ssid_030",55.90538093073,"Star"
"Ssid_031",40.6007183307671,"Star"
"Ssid_032",37.3470896362428,"Star"
"Ssid_033",70.849481223814,"Star"
"Ssid_035",83.1333289226459,"MacN"
"Ssid_036",75.1683918501413,"MacN"
"Ssid_037",61.3895804713309,"MacN"
"Ssid_038",16.5469287802209,"MacN"
"Ssid_039",79.2373185291471,"MacN"
"Ssid_040",51.3450222511195,"Emerald"
"Ssid_041",34.9303916314927,"Emerald"
"Ssid_042",48.5320719476066,"Emerald"
"Ssid_043",25.4195725111908,"Emerald"
"Ssid_044",41.7583707961879,"Emerald"
"Ssid_045",62.1168505609855,"Rainbow"
"Ssid_046",52.3851542976301,"Rainbow"
"Ssid_047",51.0370236351149,"Rainbow"
"Ssid_048",51.4702239601481,"Rainbow"
"Ssid_049",32.1304692921528,"Rainbow"
"Ssid_050",43.2270869731623,"Star"
"Ssid_051",45.1368363816156,"Star"
"Ssid_052",43.0712481001487,"Star"
"Ssid_053",41.0644677650574,"Star"
"Ssid_054",99.3623113410917,"Star"
"Ssid_055",120.008335825507,"MacN"
"Ssid_056",87.6457718587018,"MacN"
"Ssid_057",42.9586669976747,"MacN"
"Ssid_058",17.8232049882955,"MacN"
"Ssid_059",92.4202844138893,"MacN"
"Ssid_060",71.4793563163506,"Emerald"
"Ssid_061",37.1093760347795,"Emerald"
"Ssid_062",45.9990150542779,"Emerald"
"Ssid_063",20.4409404034458,"Emerald"
"Ssid_064",40.0441447728718,"Emerald"
"Ssid_065",128.390252407562,"Rainbow"
"Ssid_066",61.1968499051723,"Rainbow"
"Ssid_067",47.8167310406545,"Rainbow"
"Ssid_068",44.383159124488,"Rainbow"
"Ssid_069",33.0972947700443,"Rainbow"
"Ssid_070",62.3418553055052,"Star"
"Ssid_071",49.2551269231433,"Star"
"Ssid_072",89.4307504510586,"Star"
"Ssid_073",34.2652843093173,"Star"
"Ssid_074",108.042260634722,"Star"
"Ssid_075",100.909209514732,"MacN"
"Ssid_077",59.3671098133865,"MacN"
"Ssid_078",34.7225454474818,"MacN"
"Ssid_079",67.1774823349046,"MacN"
