"","count","site"
"Ofav_080",0.5,"Emerald"
"Ofav_081",1.52444625767956,"Emerald"
"Ofav_082",1.39630557585098,"Emerald"
"Ofav_083",2.71112788629628,"Emerald"
"Ofav_084",0.5,"Rainbow"
"Ofav_085",0.5,"Rainbow"
"Ofav_086",4.93756996194217,"Rainbow"
"Ofav_087",3.51594960305706,"Star"
"Ofav_088",0.5,"Star"
"Ofav_089",1.51132713656486,"Star"
"Ofav_090",1.72935779216972,"MacN"
"Ofav_091",4.86415212551295,"MacN"
"Ofav_092",1.45681882769277,"MacN"
"Ofav_093",9.69081521688814,"MacN"
"Ofav_094",0.5,"Emerald"
"Ofav_095",1.50928887160854,"Emerald"
"Ofav_096",2.12889129752932,"Emerald"
"Ofav_097",2.3224174136217,"Emerald"
"Ofav_098",2.29393153258972,"Emerald"
"Ofav_099",0.5,"Rainbow"
"Ofav_100",0.5,"Rainbow"
"Ofav_101",0.5,"Rainbow"
"Ofav_102",0.5,"Rainbow"
"Ofav_103",0.5,"Rainbow"
"Ofav_104",1.16775287760051,"Star"
"Ofav_105",1.26364545216831,"Star"
"Ofav_106",3.3749030531028,"Star"
"Ofav_107",8.60381993720209,"Star"
"Ofav_108",1.44572653053582,"Star"
"Ofav_110",3.22493224715287,"MacN"
"Ofav_111",2.68521454010148,"MacN"
"Ofav_112",3.39439445282149,"MacN"
"Ofav_113",2.58677703101389,"MacN"
"Ofav_114",3.88431345190316,"MacN"
"Ofav_115",0.5,"Emerald"
"Ofav_116",0.5,"Emerald"
"Ofav_117",1.27185896033258,"Emerald"
"Ofav_118",0.5,"Emerald"
"Ofav_119",1.29128537358171,"Rainbow"
"Ofav_120",1.40613583101324,"Rainbow"
"Ofav_121",0.5,"Rainbow"
"Ofav_122",0.5,"Star"
"Ofav_123",2.79767645381603,"Star"
"Ofav_124",2.05715006892661,"Star"
"Ofav_126",1.50246872268131,"Star"
"Ofav_127",5.51710647820604,"MacN"
"Ofav_128",6.45607192115956,"MacN"
"Ofav_129",2.57738954999115,"MacN"
"Ofav_130",9.59072399857838,"MacN"
"Ofav_132",1.79000563014742,"Emerald"
"Ofav_133",5.30898320658552,"Emerald"
"Ofav_153",4.86228012649108,"Emerald"
"Ofav_154",1.3247610190824,"Emerald"
"Ofav_134",0.5,"Rainbow"
"Ofav_155",0.5,"Rainbow"
"Ofav_156",1.27685829307842,"Star"
"Ofav_157",7.52331571402791,"Star"
"Ofav_158",1.60805715144164,"Star"
"Ofav_159",1.79426279210312,"Star"
"Ofav_136",4.06923925590518,"MacN"
"Ofav_137",5.34934990271358,"MacN"
"Ofav_138",7.64243911078563,"MacN"
"Ofav_160",2.2310259340098,"MacN"
"Ofav_161",9.1400886077417,"MacN"
"Ofav_162",3.92311239411083,"MacN"
"Ofav_163",4.76700938683732,"MacN"
