"","count","site"
"Ssid_001",115.571073275554,"Emerald"
"Ssid_002",77.3987603886876,"Emerald"
"Ssid_003",77.4615792748495,"Emerald"
"Ssid_004",48.2193395545178,"Emerald"
"Ssid_005",60.8556950802891,"Emerald"
"Ssid_006",42.3619275147827,"Rainbow"
"Ssid_007",61.6030423946242,"Rainbow"
"Ssid_008",98.6414632756127,"Rainbow"
"Ssid_009",76.9742376199521,"Rainbow"
"Ssid_010",87.5960653846523,"Rainbow"
"Ssid_011",44.0515981965704,"Star"
"Ssid_012",66.0032482848232,"Star"
"Ssid_013",47.2384786401414,"Star"
"Ssid_014",50.9104023385116,"Star"
"Ssid_015",71.8314164659788,"Star"
"Ssid_016",81.2823654371929,"MacN"
"Ssid_017",68.0416478078585,"MacN"
"Ssid_018",53.0275832882191,"MacN"
"Ssid_019",51.4012005286777,"MacN"
"Ssid_020",127.048968079603,"Emerald"
"Ssid_021",70.1342356185919,"Emerald"
"Ssid_022",100.831541254624,"Emerald"
"Ssid_023",177.100145149629,"Emerald"
"Ssid_024",70.0045453636918,"Emerald"
"Ssid_025",42.8431951739158,"Rainbow"
"Ssid_026",77.0558726511326,"Rainbow"
"Ssid_027",125.123896450501,"Rainbow"
"Ssid_028",115.090273104478,"Rainbow"
"Ssid_029",67.9647850564946,"Rainbow"
"Ssid_030",51.2882658531692,"Star"
"Ssid_031",60.3906832212756,"Star"
"Ssid_032",58.8412252573844,"Star"
"Ssid_033",65.2215227259089,"Star"
"Ssid_035",92.202840633668,"MacN"
"Ssid_036",51.0818138339667,"MacN"
"Ssid_037",46.9683640439104,"MacN"
"Ssid_038",62.1539895240065,"MacN"
"Ssid_039",46.4301024753358,"MacN"
"Ssid_040",68.2933630014927,"Emerald"
"Ssid_041",58.601285878144,"Emerald"
"Ssid_042",54.10100782559,"Emerald"
"Ssid_043",98.101659002164,"Emerald"
"Ssid_044",75.5152196294325,"Emerald"
"Ssid_045",70.6157265004318,"Rainbow"
"Ssid_046",54.343084648484,"Rainbow"
"Ssid_047",90.3435975735376,"Rainbow"
"Ssid_048",70.5140439013023,"Rainbow"
"Ssid_049",58.7000634975611,"Rainbow"
"Ssid_050",58.0886824420883,"Star"
"Ssid_051",98.7010400395544,"Star"
"Ssid_052",50.6732566894609,"Star"
"Ssid_053",79.0936562947987,"Star"
"Ssid_054",85.5966730530916,"Star"
"Ssid_055",72.8782878943211,"MacN"
"Ssid_056",45.1901394147189,"MacN"
"Ssid_057",51.7432187902971,"MacN"
"Ssid_058",45.3828492878566,"MacN"
"Ssid_059",51.0561564276391,"MacN"
"Ssid_060",77.2500356916636,"Emerald"
"Ssid_061",66.3968768626032,"Emerald"
"Ssid_062",85.8106532267712,"Emerald"
"Ssid_063",71.7176442980206,"Emerald"
"Ssid_064",43.998559250159,"Emerald"
"Ssid_065",49.807085265566,"Rainbow"
"Ssid_066",53.6097436670257,"Rainbow"
"Ssid_067",53.9221156910615,"Rainbow"
"Ssid_068",53.1597909493856,"Rainbow"
"Ssid_069",55.1224939389932,"Rainbow"
"Ssid_070",85.9542000585163,"Star"
"Ssid_071",78.3892881333143,"Star"
"Ssid_072",60.5883448993639,"Star"
"Ssid_073",116.632114215379,"Star"
"Ssid_074",85.5165168531245,"Star"
"Ssid_075",87.7715559333654,"MacN"
"Ssid_077",52.3030566357801,"MacN"
"Ssid_078",59.1672207671117,"MacN"
"Ssid_079",90.2581492969869,"MacN"
