"","count","treat"
"Ssid_001",59.9263758700043,"CC"
"Ssid_002",69.0603405875046,"CC"
"Ssid_003",45.1567188384929,"CC"
"Ssid_004",81.6228772426802,"CC"
"Ssid_005",81.7954260265119,"CC"
"Ssid_006",72.9533360832778,"CC"
"Ssid_007",85.9311055702616,"CC"
"Ssid_008",42.5606271181197,"CC"
"Ssid_009",46.2901299329343,"CC"
"Ssid_010",69.2932690357036,"CC"
"Ssid_011",91.1344070577276,"CC"
"Ssid_012",78.0696361267643,"CC"
"Ssid_013",80.6231062402424,"CC"
"Ssid_014",74.7153145539198,"CC"
"Ssid_015",59.510535440037,"CC"
"Ssid_016",47.0434820730846,"CC"
"Ssid_017",120.232921113931,"CC"
"Ssid_018",50.4336285579367,"CC"
"Ssid_019",50.8227777953973,"CC"
"Ssid_020",40.9253648032065,"CH"
"Ssid_021",43.8571655738402,"CH"
"Ssid_022",58.954028383129,"CH"
"Ssid_023",34.6366259954179,"CH"
"Ssid_024",51.6231779947815,"CH"
"Ssid_025",52.7232740478295,"CH"
"Ssid_026",88.1363279032703,"CH"
"Ssid_027",59.8447125954765,"CH"
"Ssid_028",29.5101957226525,"CH"
"Ssid_029",84.0757785028217,"CH"
"Ssid_030",68.2176878042256,"CH"
"Ssid_031",59.3491061217751,"CH"
"Ssid_032",37.3470896362428,"CH"
"Ssid_033",66.6285123503852,"CH"
"Ssid_035",49.8784526488982,"CH"
"Ssid_036",104.072285469551,"CH"
"Ssid_037",67.7990099946289,"CH"
"Ssid_038",49.4853615396216,"CH"
"Ssid_039",71.0355145156943,"CH"
"Ssid_040",59.1673333666764,"LC"
"Ssid_041",75.8164816938903,"LC"
"Ssid_042",76.3767513375235,"LC"
"Ssid_043",48.9547243273155,"LC"
"Ssid_044",73.6398391386967,"LC"
"Ssid_045",45.119098682093,"LC"
"Ssid_046",90.5647961392824,"LC"
"Ssid_047",82.6226634070617,"LC"
"Ssid_048",52.0303363113585,"LC"
"Ssid_049",59.9652822692472,"LC"
"Ssid_050",59.0175321588962,"LC"
"Ssid_051",103.164723677716,"LC"
"Ssid_052",82.6016927645724,"LC"
"Ssid_053",68.9525393535344,"LC"
"Ssid_054",65.5739264523642,"LC"
"Ssid_055",64.4622079066093,"LC"
"Ssid_056",56.3626742683986,"LC"
"Ssid_057",65.6520924619491,"LC"
"Ssid_058",48.5325229220921,"LC"
"Ssid_059",64.8441990897225,"LC"
"Ssid_060",58.2067937531305,"LH"
"Ssid_061",82.2609398110076,"LH"
"Ssid_062",49.4114411833488,"LH"
"Ssid_063",26.1383519472874,"LH"
"Ssid_064",51.1165053092759,"LH"
"Ssid_065",46.7253924364681,"LH"
"Ssid_066",78.9000977941808,"LH"
"Ssid_067",70.7119234796808,"LH"
"Ssid_068",48.7714750369368,"LH"
"Ssid_069",51.5984620719614,"LH"
"Ssid_070",38.7295105524941,"LH"
"Ssid_071",49.2551269231433,"LH"
"Ssid_072",50.9742097154657,"LH"
"Ssid_073",50.1247360303603,"LH"
"Ssid_074",34.6519341204859,"LH"
"Ssid_075",38.97455691686,"LH"
"Ssid_077",47.5936878507092,"LH"
"Ssid_078",44.5004155753338,"LH"
"Ssid_079",44.9516548899364,"LH"
