"","count","treat"
"Ofav_080",707.329900630084,"CC"
"Ofav_081",1402.96692676332,"CC"
"Ofav_082",1126.25980326884,"CC"
"Ofav_083",998.455719348386,"CC"
"Ofav_084",2499.81215050179,"CC"
"Ofav_085",1195.71775317308,"CC"
"Ofav_086",5469.06538310007,"CC"
"Ofav_087",835.918040046805,"CC"
"Ofav_088",1223.15617644435,"CC"
"Ofav_089",823.720289163793,"CC"
"Ofav_090",1365.08714930839,"CC"
"Ofav_091",709.238305183302,"CC"
"Ofav_092",920.002893412751,"CC"
"Ofav_093",4939.03137654123,"CC"
"Ofav_094",2331.37172986532,"CH"
"Ofav_095",2831.55528486195,"CH"
"Ofav_096",1859.87941612971,"CH"
"Ofav_097",1476.65810503357,"CH"
"Ofav_098",2384.63500681174,"CH"
"Ofav_099",1752.29295612508,"CH"
"Ofav_100",2623.643018795,"CH"
"Ofav_101",2136.08252593024,"CH"
"Ofav_102",2258.49162810825,"CH"
"Ofav_103",2271.93269823388,"CH"
"Ofav_104",1335.33800232341,"CH"
"Ofav_105",1523.20903162361,"CH"
"Ofav_106",1784.85649495914,"CH"
"Ofav_107",1350.59640153787,"CH"
"Ofav_108",2172.83384064077,"CH"
"Ofav_110",1668.15853525756,"CH"
"Ofav_111",1077.81076827003,"CH"
"Ofav_112",1134.13782735508,"CH"
"Ofav_113",2195.78943662661,"CH"
"Ofav_114",1661.35182652147,"CH"
"Ofav_115",1684.26616276052,"LC"
"Ofav_116",1618.22465114471,"LC"
"Ofav_117",841.054407802184,"LC"
"Ofav_118",1832.89686466208,"LC"
"Ofav_119",1411.3618210962,"LC"
"Ofav_120",1552.71067852567,"LC"
"Ofav_121",895.384096933791,"LC"
"Ofav_122",787.4571995905,"LC"
"Ofav_123",792.432484415257,"LC"
"Ofav_124",1211.9627536249,"LC"
"Ofav_126",1201.45752977221,"LC"
"Ofav_127",1485.56351754899,"LC"
"Ofav_128",739.052918223786,"LC"
"Ofav_129",763.940659621747,"LC"
"Ofav_130",1423.95586611073,"LC"
"Ofav_132",1424.66621568275,"LH"
"Ofav_133",1625.24932622496,"LH"
"Ofav_153",1511.59383581651,"LH"
"Ofav_154",1835.59326745835,"LH"
"Ofav_134",1914.96560562442,"LH"
"Ofav_155",2496.17870639595,"LH"
"Ofav_156",1483.5224814867,"LH"
"Ofav_157",1770.37555993503,"LH"
"Ofav_158",1387.78755360493,"LH"
"Ofav_159",1127.80289192182,"LH"
"Ofav_136",1222.96444514752,"LH"
"Ofav_137",2014.91994958722,"LH"
"Ofav_138",1165.5111794037,"LH"
"Ofav_160",2659.35583463905,"LH"
"Ofav_161",1869.99917250011,"LH"
"Ofav_162",1710.91515959071,"LH"
"Ofav_163",1713.70426881518,"LH"
