"","count","treat"
"Ssid_001",139.341623623556,"CC"
"Ssid_002",152.444538599335,"CC"
"Ssid_003",148.722300825636,"CC"
"Ssid_004",82.1530921266193,"CC"
"Ssid_005",100.271659214356,"CC"
"Ssid_006",159.897339383211,"CC"
"Ssid_007",88.7599501255683,"CC"
"Ssid_008",204.669294135873,"CC"
"Ssid_009",187.909088488401,"CC"
"Ssid_010",153.864810786018,"CC"
"Ssid_011",61.7076515195044,"CC"
"Ssid_012",238.380217455411,"CC"
"Ssid_013",80.6231062402424,"CC"
"Ssid_014",130.726872707822,"CC"
"Ssid_015",109.442526966222,"CC"
"Ssid_016",129.43079516797,"CC"
"Ssid_017",43.4810486050009,"CC"
"Ssid_018",109.446098671862,"CC"
"Ssid_019",106.929782923599,"CC"
"Ssid_020",172.747206552793,"CH"
"Ssid_021",55.0249203428597,"CH"
"Ssid_022",124.387642244841,"CH"
"Ssid_023",178.465610189445,"CH"
"Ssid_024",194.653192834114,"CH"
"Ssid_025",119.060946486964,"CH"
"Ssid_026",111.304552521376,"CH"
"Ssid_027",171.68667094849,"CH"
"Ssid_028",216.625958133761,"CH"
"Ssid_029",81.0549672316354,"CH"
"Ssid_030",115.927876939021,"CH"
"Ssid_031",78.6182824625334,"CH"
"Ssid_032",94.1530194921171,"CH"
"Ssid_033",76.4774397217192,"CH"
"Ssid_035",84.1410524460928,"CH"
"Ssid_036",60.7164450404365,"CH"
"Ssid_037",106.255587134417,"CH"
"Ssid_038",95.9369974823663,"CH"
"Ssid_039",74.3162361210754,"CH"
"Ssid_040",82.6342667133469,"LC"
"Ssid_041",77.9683811708586,"LC"
"Ssid_042",81.249570230759,"LC"
"Ssid_043",83.5652417039694,"LC"
"Ssid_044",43.6337512869237,"LC"
"Ssid_045",79.1146024398781,"LC"
"Ssid_046",52.3851542976301,"LC"
"Ssid_047",65.7769888620234,"LC"
"Ssid_048",120.92415551024,"LC"
"Ssid_049",71.3522512144222,"LC"
"Ssid_050",39.5116881059308,"LC"
"Ssid_051",25.0502600098886,"LC"
"Ssid_052",56.7548635609107,"LC"
"Ssid_053",59.6565154907087,"LC"
"Ssid_054",104.367997991274,"LC"
"Ssid_055",79.6111518844905,"LC"
"Ssid_056",60.8316882098705,"LC"
"Ssid_057",55.4034487038897,"LC"
"Ssid_058",65.8557279103877,"LC"
"Ssid_059",40.7151244310766,"LC"
"Ssid_060",85.9060547546332,"LH"
"Ssid_061",85.9218774144856,"LH"
"Ssid_062",200.695666238823,"LH"
"Ssid_063",100.204702017229,"LH"
"Ssid_064",103.314776409467,"LH"
"Ssid_065",109.900095432975,"LH"
"Ssid_066",121.893699810345,"LH"
"Ssid_067",144.739712365866,"LH"
"Ssid_068",224.304111534889,"LH"
"Ssid_069",127.365147213146,"LH"
"Ssid_070",175.905989593797,"LH"
"Ssid_071",128.333564493607,"LH"
"Ssid_072",125.483757390677,"LH"
"Ssid_073",182.116301966782,"LH"
"Ssid_074",125.481546143055,"LH"
"Ssid_075",104.662824823694,"LH"
"Ssid_077",105.675902866584,"LH"
"Ssid_078",116.204796512915,"LH"
"Ssid_079",161.209829217462,"LH"
