"","V1","V2","V3","V4"
"1","OG0000002","myosin light chain kinase activity / NA","1.54641079832663","1.77772479209001"
"2","OG0000086","Kelch-like protein 12 / protein K33-linked ubiquitination","-1.1004171239404","1.91472284565998"
"3","OG0000133","ATPase activity, coupled to transmembrane movement of substances / Multidrug resistance-associated protein 1","-1.64305867915134","-3.17833971974816"
"4","OG0000221","glutathione hydrolase activity / glutathione hydrolase activity","1.29986431381234","-1.04636453278712"
"5","OG0000290","GTPase activity / GTPase activity","-2.74712066513203","2.97874372027972"
"6","OG0000302","organic anion transmembrane transporter activity / organic anion transmembrane transporter activity","1.81496500005148","2.26865174365104"
"7","OG0000369","- / NA","-1.46618049863495","2.46879480380984"
"8","OG0000402","transferase activity / Glutathione S-transferase, C-terminal domain","-2.24186400072996","1.78186662447939"
"9","OG0000566","Carboxylesterase family / Carboxylesterase family","1.13329976676941","-2.27609345526311"
"10","OG0000709","poly ADP-ribose polymerase / Poly (ADP-ribose) polymerase","1.35989357680843","2.07567870939319"
"11","OG0000721","NA / proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific","-1.72609477921785","1.52820418547115"
"12","OG0000761","adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway / NA","1.97652970105832","-1.29522346063882"
"13","OG0000800","Cytochrome P450, family 46, subfamily A, polypeptide / Cytochrome P450, family 46, subfamily A, polypeptide","1.69154487517413","1.22909955549911"
"14","OG0001054","lens fiber cell differentiation / V-maf avian musculoaponeurotic fibrosarcoma oncogene homolog","2.88512557799676","1.65251779083064"
"15","OG0001060","Tumor necrosis factor receptor / nerve growth factor receptor repeats. / tumor necrosis factor-activated receptor activity","2.28909642663773","3.26037174255595"
"16","OG0001085","Sterol-sensing domain of SREBP cleavage-activation / Sterol-sensing domain of SREBP cleavage-activation","-3.26768874091075","-3.89453046978298"
"17","OG0001135","positive regulation of epithelial to mesenchymal transition / positive regulation of epithelial to mesenchymal transition","-5.02773028152145","-2.55361428109881"
"18","OG0001144","BCCT, betaine/carnitine/choline family transporter / BCCT, betaine/carnitine/choline family transporter","-2.07189642564919","-2.16784158538708"
"19","OG0001245","ATPase activity, coupled to transmembrane movement of substances / ATPase activity, coupled to transmembrane movement of substances","-1.32806297800947","-1.55170213470282"
"20","OG0001372","alpha-L-fucosidase activity / alpha-L-fucosidase activity","-1.85553896518166","-1.01270437360215"
"21","OG0001481","Coagulation factor 5/8 C-terminal domain, discoidin domain / integrin binding","4.69840737949567","-7.98802840054443"
"22","OG0001501","sphinganine-1-phosphate aldolase activity / sphinganine-1-phosphate aldolase activity","-1.15689727337042","-1.32810148239612"
