"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid"
"1","Rainbow_Emerald","OG0000159","Ofaveolata035798","Ssiderea034404",3.3338047182038,-2.58393653629282,"carbohydrate binding","carbohydrate binding","",""
"2","Rainbow_Emerald","OG0000233","Ofaveolata024356","Ssiderea045997",-1.73320380260863,3.47917701974004,"FAD dependent oxidoreductase","FAD dependent oxidoreductase","Amino acid transport and metabolism","Amino acid transport and metabolism"
"3","Rainbow_Emerald","OG0000444","Ofaveolata026424","Ssiderea038632",3.47973026889349,-4.81390731126694,"zinc ion binding","zinc ion binding","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"4","Rainbow_Emerald","OG0000592","Ofaveolata014308","Ssiderea003590",1.2827763553344,-2.31872776753159,"Placenta-specific gene 8 protein-like","Placenta-specific gene 8 protein-like",NA,"Function Unknown"
"5","Rainbow_Emerald","OG0000597","Ofaveolata005223","Ssiderea016645",-1.03900469780106,1.83770322709452,"SUMO-specific protease activity","SUMO1 sentrin specific peptidase","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"6","Rainbow_Emerald","OG0000618","Ofaveolata003213","Ssiderea030177",2.15929408400208,-1.31930509495429,"zinc ion binding","zinc ion binding",NA,"Function Unknown"
"7","Rainbow_Emerald","OG0000713","Ofaveolata021402","Ssiderea020017",1.29928133943035,3.60417440704976,"urate homeostasis","transcript (3","Signal transduction mechanisms","Signal transduction mechanisms"
"8","Rainbow_Emerald","OG0001094","Ofaveolata035497","Ssiderea60931",-1.06839080379337,1.8839133362954,"protein tag","intracellular transport of virus","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"9","Rainbow_Emerald","OG0001364","Ofaveolata017549","Ssiderea048577",-2.31412510591843,1.08614217400499,"Protein kinase C terminal domain","Protein tyrosine kinase","Signal transduction mechanisms","Signal transduction mechanisms"
"10","Rainbow_Emerald","OG0001560","Ofaveolata003254","Ssiderea030126",1.8188382505655,-1.1323421956289,"ATP-dependent RNA helicase","ATP-dependent RNA helicase","RNA processing and modification","RNA processing and modification"
"11","Rainbow_Emerald","OG0002175","Ofaveolata003889","Ssiderea030331",1.12694465313939,-1.07940317279581,"DNA-directed 5'-3' RNA polymerase activity","G-protein coupled receptor activity","Transcription","Posttranslational modification, protein turnover, chaperones"
"12","Rainbow_Emerald","OG0002373","Ofaveolata034392","Ssiderea052824",-1.21758422255498,1.01748002652489,NA,"neurogenic locus notch homolog protein",NA,"Signal transduction mechanisms"
"13","Rainbow_Emerald","OG0003006","Ofaveolata029112","Ssiderea042600",1.74572653258671,1.36677830542025,NA,"mannose binding",NA,"Signal transduction mechanisms"
"14","Rainbow_Emerald","OG0003313","Ofaveolata004925","Ssiderea011320",1.31214544418742,-1.20326934740971,"cerebellar Purkinje cell layer maturation","Arginine-glutamic acid dipeptide","Transcription","Transcription"
"15","Rainbow_Emerald","OG0003815","Ofaveolata028767","Ssiderea027809",-6.22428841971172,-1.9105314144387,"PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides","PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"16","Rainbow_Emerald","OG0004279","Ofaveolata025180","Ssiderea021583",1.37741816533967,1.07389313281914,"unfolded protein binding","unfolded protein binding",NA,"Function Unknown"
"17","Rainbow_Emerald","OG0004637","Ofaveolata028966","Ssiderea014220",-1.84214488144769,3.47610664614451,"Putative Interleukin 2 receptor, gamma chain","Putative Interleukin 2 receptor, gamma chain",NA,"Function Unknown"
"18","Rainbow_Emerald","OG0004974","Ofaveolata027031","Ssiderea018178",-1.01472255652013,1.31810396002966,"Chromosome 1 open reading frame 177","Chromosome 1 open reading frame 177","Lipid transport and metabolism","Lipid transport and metabolism"
"19","Rainbow_Emerald","OG0006563","Ofaveolata004654","Ssiderea010637",1.43266472946081,-1.10665833715077,"NADP-retinol dehydrogenase activity","NADP-retinol dehydrogenase activity","Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism"
"20","Rainbow_Emerald","OG0008352","Ofaveolata015433","Ssiderea033919",-1.39270652109276,-1.41771849947386,"microtubule motor activity","microtubule motor activity","Cytoskeleton","Cytoskeleton"
"21","Rainbow_Emerald","OG0008579","Ofaveolata017828","Ssiderea048552",-1.04939341868542,1.23678070024789,"transmembrane transport","major facilitator superfamily","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism"
"22","Rainbow_Emerald","OG0008767","Ofaveolata023038","Ssiderea014777",1.14096933271106,-1.36798170850133,NA,"Cobalamin binding. It is involved in the biological process described with cobalamin transport",NA,"Function Unknown"
"23","Rainbow_Emerald","OG0009047","Ofaveolata017639","Ssiderea046884",-1.20538110927696,1.07132909792786,"G protein-coupled receptor 180","G protein-coupled receptor 180",NA,"Function Unknown"
"24","Rainbow_Emerald","OG0009623","Ofaveolata022834","Ssiderea015474",-2.15476028423709,1.02489474013825,"3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity","3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism"
