gene,lpv
Ssiderea000001,-0.0328579469387379
Ssiderea000002,NA
Ssiderea000004,-0.0117445591648865
Ssiderea000005,-0.104753416218575
Ssiderea000006,NA
Ssiderea000007,NA
Ssiderea000008,-2.10260664860241
Ssiderea000009,0.116652079925758
Ssiderea000010,NA
Ssiderea000011,-0.0441735788604822
Ssiderea000012,0.0333991319238154
Ssiderea000014,-1.49828295036196
Ssiderea000015,0.0532116678361189
Ssiderea000016,NA
Ssiderea000017,-0.00405377680976775
Ssiderea000019,-0.462783143137634
Ssiderea000020,-0.334526459207573
Ssiderea000021,NA
Ssiderea000023,NA
Ssiderea000025,0.113089259066106
Ssiderea000030,NA
Ssiderea000032,-0.171923556124546
Ssiderea000033,3.39139038824169
Ssiderea000034,0.618826859227329
Ssiderea000035,0.732844501933916
Ssiderea000039,NA
Ssiderea000040,NA
Ssiderea000041,NA
Ssiderea000042,NA
Ssiderea000044,0.0266443838607399
Ssiderea000046,NA
Ssiderea000048,NA
Ssiderea000049,NA
Ssiderea000050,0.0457869535976699
Ssiderea000051,0.253999716378065
Ssiderea000053,0.0146661637479826
Ssiderea000057,NA
Ssiderea000059,NA
Ssiderea000060,NA
Ssiderea000061,NA
Ssiderea000062,-0.00929900877913338
Ssiderea000072,NA
Ssiderea000080,NA
Ssiderea000081,0.209525758556717
Ssiderea000083,0.143125394056339
Ssiderea000084,0.0300716190108366
Ssiderea000085,0.134984287323054
Ssiderea000086,NA
Ssiderea000094,NA
Ssiderea000096,-0.0632443954122316
Ssiderea000097,NA
Ssiderea000098,NA
Ssiderea000100,-0.0419824490499244
Ssiderea000101,-0.124021137815151
Ssiderea000102,-0.0107293156824451
Ssiderea000103,NA
Ssiderea000104,NA
Ssiderea000105,0.0127064115007228
Ssiderea000106,0.126451666511986
Ssiderea000109,0.277233791003424
Ssiderea000110,-0.292303644463513
Ssiderea000111,0.0111033720368072
Ssiderea000112,-4.18243031680902
Ssiderea000113,-3.69436078961761
Ssiderea000114,-0.000751508642855074
Ssiderea000115,-0.395799919068322
Ssiderea000117,-0.0107944696940347
Ssiderea000118,NA
Ssiderea000120,-0.00505010016972171
Ssiderea000123,0.0167594305328204
Ssiderea000124,0.0926869412315967
Ssiderea000125,0.0117445591648865
Ssiderea000126,0.182236206209035
Ssiderea000128,0.0140422093310111
Ssiderea000129,-0.272163915212536
Ssiderea000130,-0.180840364114566
Ssiderea000131,NA
Ssiderea000133,-5.88921338243486
Ssiderea000134,NA
Ssiderea000135,-0.225596059400338
Ssiderea000136,-0.0989306219769709
Ssiderea000137,NA
Ssiderea000138,3.46341907568781
Ssiderea000139,2.34091818692165
Ssiderea000140,0.0421580686141828
Ssiderea000142,2.37083706877844
Ssiderea000143,0.346885831885942
Ssiderea000144,NA
Ssiderea000145,NA
Ssiderea000147,0.310318662235429
Ssiderea000151,NA
Ssiderea000152,NA
Ssiderea000154,-0.00275051884218781
Ssiderea000155,0.0027494491604967
Ssiderea000156,NA
Ssiderea000157,NA
Ssiderea000158,0.706045028010577
Ssiderea000159,-0.577963628002061
Ssiderea000160,2.05873982488852
Ssiderea000161,NA
Ssiderea000162,0.0458204910601044
Ssiderea000164,0.000339369293249656
Ssiderea000165,-0.0368411137820527
Ssiderea000166,0.230113297519505
Ssiderea000167,0.0774172218176795
Ssiderea000168,-0.0566058936094203
Ssiderea000169,-2.06712593937292
Ssiderea000170,-3.74454347076531
Ssiderea000171,NA
Ssiderea000172,0.0780002515292259
Ssiderea000173,-1.57015351956696
Ssiderea000174,NA
Ssiderea000175,-0.081938252965991
Ssiderea000176,0.0236133717349095
Ssiderea000177,NA
Ssiderea000178,0.00934091313835098
Ssiderea000179,0.0423874589200934
Ssiderea000180,0.0429108290078185
Ssiderea000181,NA
Ssiderea000182,-0.469598275181621
Ssiderea000183,-0.362457671229212
Ssiderea000184,0.140210175417468
Ssiderea000185,-0.0763739017458261
Ssiderea000186,NA
Ssiderea000187,NA
Ssiderea000188,0.0396054675065131
Ssiderea000189,-0.0325330044891614
Ssiderea000190,0.143551860471469
Ssiderea000191,NA
Ssiderea000192,0.392428917968595
Ssiderea000193,0.109448573117898
Ssiderea000194,-0.195335413504575
Ssiderea000195,-1.09479647990183
Ssiderea000196,-2.14034326390271
Ssiderea000197,0.303760945546237
Ssiderea000199,-0.121155968175609
Ssiderea000200,0.0236133717349095
Ssiderea000201,0.00422404807623815
Ssiderea000202,NA
Ssiderea000203,0.153658422820959
Ssiderea000204,-0.491191051637224
Ssiderea000205,-0.134750687145532
Ssiderea000206,-0.773382731309826
Ssiderea000207,-0.219665609954007
Ssiderea000209,-0.773550375666262
Ssiderea000210,-0.0115806649169146
Ssiderea000211,0.123331920871027
Ssiderea000212,0.0205885995022227
Ssiderea000213,-0.0560837894100401
Ssiderea000214,NA
Ssiderea000215,-0.43333003791669
Ssiderea000216,0.595400896568147
Ssiderea000217,NA
Ssiderea000218,NA
Ssiderea000219,0.183523469050284
Ssiderea000220,0.05994759102627
Ssiderea000222,0.00438677617964069
Ssiderea000223,0.109736132824215
Ssiderea000224,-0.113543249397898
Ssiderea000225,0.132843587769343
Ssiderea000226,NA
Ssiderea000227,0.0326737990547933
Ssiderea000228,0.0400097422278047
Ssiderea000229,0.102264002634065
Ssiderea000230,0.123999452052827
Ssiderea000231,0.0617697611077696
Ssiderea000232,0.00762619967577158
Ssiderea000233,0.0714713678906611
Ssiderea000234,0.323859320957207
Ssiderea000235,NA
Ssiderea000236,-0.0138847307747208
Ssiderea000237,0.000441355003564842
Ssiderea000238,0.0326737990547933
Ssiderea000240,0.132926560645948
Ssiderea000241,NA
Ssiderea000242,-0.320980588004084
Ssiderea000243,NA
Ssiderea000244,NA
Ssiderea000246,0.0755284716403144
Ssiderea000247,0.404574654112053
Ssiderea000249,0.0156899411189332
Ssiderea000252,NA
Ssiderea000253,NA
Ssiderea000254,NA
Ssiderea000257,0.00524728775752082
Ssiderea000258,-0.0982468117006743
Ssiderea000259,NA
Ssiderea000260,0.660519683117373
Ssiderea000261,-0.127057253624696
Ssiderea000263,NA
Ssiderea000264,NA
Ssiderea000266,NA
Ssiderea000267,NA
Ssiderea000271,0.0240936491057383
Ssiderea000273,NA
