gene,lpv
Ssiderea000001,-0.346054036424798
Ssiderea000002,0.0876102096793542
Ssiderea000004,-0.0812290396137676
Ssiderea000005,0.0435697453062854
Ssiderea000006,NA
Ssiderea000007,NA
Ssiderea000008,0.221392512377186
Ssiderea000009,-0.743668220657875
Ssiderea000010,NA
Ssiderea000011,-1.15317659048214
Ssiderea000012,-0.342117866690754
Ssiderea000014,0.53025343323152
Ssiderea000015,-1.54559580731745
Ssiderea000016,NA
Ssiderea000017,-0.0692919837896031
Ssiderea000019,-0.113141312356082
Ssiderea000020,-0.0242519324647346
Ssiderea000021,NA
Ssiderea000023,NA
Ssiderea000025,-0.107150507767475
Ssiderea000030,NA
Ssiderea000032,-0.566521944351437
Ssiderea000033,0.165918326938049
Ssiderea000034,-0.0514628757273924
Ssiderea000035,-0.118630777398436
Ssiderea000039,NA
Ssiderea000040,NA
Ssiderea000041,NA
Ssiderea000042,-1.3811930580213
Ssiderea000044,-0.285556025556015
Ssiderea000046,-0.442937125462696
Ssiderea000048,NA
Ssiderea000049,0.0153683156811084
Ssiderea000050,-0.54028754783572
Ssiderea000051,-0.138387592821901
Ssiderea000053,-0.0504056668135734
Ssiderea000057,NA
Ssiderea000059,NA
Ssiderea000060,NA
Ssiderea000061,NA
Ssiderea000062,-0.0121720641209843
Ssiderea000072,NA
Ssiderea000080,NA
Ssiderea000081,0.254160236048701
Ssiderea000083,-0.114807324853304
Ssiderea000084,-1.11464017859075
Ssiderea000085,-0.0476808634357923
Ssiderea000086,NA
Ssiderea000094,NA
Ssiderea000096,-0.0548516560285289
Ssiderea000097,NA
Ssiderea000098,-0.0498787172434188
Ssiderea000100,-0.311248035302684
Ssiderea000101,0.558180708146213
Ssiderea000102,-0.468920332867188
Ssiderea000103,-0.420688372852746
Ssiderea000104,NA
Ssiderea000105,0.0613062162840719
Ssiderea000106,0.0866399383095402
Ssiderea000109,0.29216499322745
Ssiderea000110,1.61802869327373
Ssiderea000111,-0.271420631709025
Ssiderea000112,0.119352336863511
Ssiderea000113,-0.127071403848202
Ssiderea000114,0.247806779874605
Ssiderea000115,-0.0338557867073574
Ssiderea000117,-0.322607846714297
Ssiderea000118,-0.322145362536402
Ssiderea000120,0.351159206753418
Ssiderea000123,-0.0728404118929006
Ssiderea000124,0.21515811720484
Ssiderea000125,-0.365603074748213
Ssiderea000126,-0.045243702131781
Ssiderea000128,-0.0199463096667288
Ssiderea000129,0.123004314658698
Ssiderea000130,-0.81063301416947
Ssiderea000131,NA
Ssiderea000133,-0.0663539695035579
Ssiderea000134,NA
Ssiderea000135,-1.68921661303891
Ssiderea000136,-0.137675081197228
Ssiderea000137,NA
Ssiderea000138,-0.182130736683763
Ssiderea000139,-0.0265960883253644
Ssiderea000140,-0.269209473736955
Ssiderea000142,0.227253856907574
Ssiderea000143,-0.189104251629137
Ssiderea000144,NA
Ssiderea000145,NA
Ssiderea000147,-0.0141075764619037
Ssiderea000151,NA
Ssiderea000152,-0.191878090091846
Ssiderea000154,0.182899665578827
Ssiderea000155,0.0344446929820389
Ssiderea000156,NA
Ssiderea000157,NA
Ssiderea000158,-0.0137946501944946
Ssiderea000159,0.367070103222338
Ssiderea000160,0.108414378101708
Ssiderea000161,-0.180957858839469
Ssiderea000162,-0.446651134611763
Ssiderea000164,-0.198888805399289
Ssiderea000165,0.082346612694919
Ssiderea000166,-0.785834049323017
Ssiderea000167,0.0631484290903545
Ssiderea000168,0.125487630528238
Ssiderea000169,0.278784143093566
Ssiderea000170,-0.188411262525043
Ssiderea000171,NA
Ssiderea000172,0.0463564276965324
Ssiderea000173,0.0778644978664305
Ssiderea000174,NA
Ssiderea000175,-0.00119172036964603
Ssiderea000176,0.0941956324984447
Ssiderea000177,0.149100649590813
Ssiderea000178,-0.335936754900585
Ssiderea000179,-0.123004314658698
Ssiderea000180,-0.0378555645863042
Ssiderea000181,NA
Ssiderea000182,0.312624186593979
Ssiderea000183,0.304191493968406
Ssiderea000184,0.242668729186043
Ssiderea000185,0.327830690585039
Ssiderea000186,NA
Ssiderea000187,-0.0556122148930932
Ssiderea000188,-0.543316453206693
Ssiderea000189,-1.86768344859766
Ssiderea000190,-0.607173268212488
Ssiderea000191,NA
Ssiderea000192,0.0434261131444788
Ssiderea000193,0.039414820305399
Ssiderea000194,-0.899145533161289
Ssiderea000195,0.497879575872335
Ssiderea000196,-0.090954514785484
Ssiderea000197,0.10065678370228
Ssiderea000199,-0.447540168943078
Ssiderea000200,-0.20775927760613
Ssiderea000201,0.242934452857694
Ssiderea000202,-0.000921821233756088
Ssiderea000203,-0.126745121791349
Ssiderea000204,0.107821707159755
Ssiderea000205,0.262572499137919
Ssiderea000206,0.301338594475639
Ssiderea000207,-0.359550538757567
Ssiderea000209,0.00899255286226165
Ssiderea000210,-0.684562696205889
Ssiderea000211,-0.595011537196949
Ssiderea000212,0.373578968319484
Ssiderea000213,0.146587854139675
Ssiderea000214,NA
Ssiderea000215,-0.316671822702418
Ssiderea000216,-0.380403228764875
Ssiderea000217,NA
Ssiderea000218,0.64000443607803
Ssiderea000219,0.127862438000827
Ssiderea000220,-0.0423028505185097
Ssiderea000222,-0.0273400182646352
Ssiderea000223,-0.174026304482502
Ssiderea000224,1.07941440906401
Ssiderea000225,-0.446393302461711
Ssiderea000226,NA
Ssiderea000227,0.0279109910995083
Ssiderea000228,-0.0688219767727722
Ssiderea000229,-0.672663910226941
Ssiderea000230,-0.0912596027921035
Ssiderea000231,0.758483452698884
Ssiderea000232,0.0272071028465916
Ssiderea000233,0.0756811291995224
Ssiderea000234,-2.18023336392336
Ssiderea000235,NA
Ssiderea000236,-0.0520149869594657
Ssiderea000237,-1.14633649174678
Ssiderea000238,-0.174491292123789
Ssiderea000240,0.193091958154362
Ssiderea000241,-0.0599782563516717
Ssiderea000242,-0.739565443026361
Ssiderea000243,NA
Ssiderea000244,NA
Ssiderea000246,-0.0126970210668145
Ssiderea000247,-0.12176403149914
Ssiderea000249,0.0941433984344269
Ssiderea000252,NA
Ssiderea000253,NA
Ssiderea000254,NA
Ssiderea000257,0.367322041602071
Ssiderea000258,0.308930515910031
Ssiderea000259,NA
Ssiderea000260,-0.075703231212001
Ssiderea000261,0.67921279147934
Ssiderea000263,NA
Ssiderea000264,NA
Ssiderea000266,NA
Ssiderea000267,NA
Ssiderea000271,-0.320042828034174
Ssiderea000273,0.158857900858139
Ssiderea000274,NA
Ssiderea000277,NA
Ssiderea000278,-2.07018913989835
Ssiderea000279,NA
Ssiderea000281,-0.852260462761493
Ssiderea000282,NA
Ssiderea000283,-0.756687972300248
Ssiderea000286,NA
Ssiderea000287,NA
Ssiderea000289,-0.0313628289579524
Ssiderea000291,0.129409165071972
Ssiderea000292,NA
Ssiderea000293,NA
Ssiderea000294,0.819696493203904
Ssiderea000296,-0.0947733174615624
Ssiderea000297,NA
Ssiderea000298,NA
Ssiderea000299,0.00104079367074461
Ssiderea000300,0.214429958009875
Ssiderea000302,-2.14655652674307
Ssiderea000303,NA
Ssiderea000304,NA
Ssiderea000305,NA
Ssiderea000306,0.0333786512704742
Ssiderea000307,0.189896422448785
Ssiderea000308,NA
Ssiderea000309,-0.0150670162328329
Ssiderea000311,-0.653946221987619
Ssiderea000313,NA
Ssiderea000314,NA
Ssiderea000315,0.103618843800741
Ssiderea000317,-0.071484200369403
Ssiderea000319,0.204116206822036
Ssiderea000321,0.322317237762037
Ssiderea000322,-0.0746377240363637
Ssiderea000323,0.0128338862301017
Ssiderea000324,NA
Ssiderea000326,-0.139563303438604
Ssiderea000327,0.325317736952876
Ssiderea000328,-0.0425623444849469
Ssiderea000329,-0.540589578792519
Ssiderea000331,NA
Ssiderea000334,NA
Ssiderea000335,-0.298543933455141
Ssiderea000336,NA
Ssiderea000337,NA
Ssiderea000339,0.0830261664464357
Ssiderea000341,NA
Ssiderea000342,NA
Ssiderea000343,0.690154430759538
Ssiderea000344,NA
Ssiderea000346,-0.0595728227242417
Ssiderea000347,-0.069050427752278
Ssiderea000349,0.0817492808489467
Ssiderea000350,0.665735845480453
Ssiderea000351,-0.0693318682336627
Ssiderea000353,-0.799886787358997
Ssiderea000354,-0.492167962133251
Ssiderea000355,0.167266585788088
Ssiderea000356,NA
Ssiderea000357,0.393792487469513
Ssiderea000358,0.607745414673853
Ssiderea000359,NA
Ssiderea000360,-0.700137515525882
Ssiderea000361,-0.0897268461754267
Ssiderea000362,0.612312094419316
Ssiderea000363,-0.0450896426586582
Ssiderea000364,0.730380438831895
Ssiderea000365,0.0414939381086771
Ssiderea000366,-1.08479325252172
Ssiderea000367,0.264164486995871
Ssiderea000368,-0.107156805447491
Ssiderea000369,0.210231404510335
Ssiderea000370,-0.29827809880591
Ssiderea000371,0.55779013731289
Ssiderea000372,NA
Ssiderea000373,0.0209423140688682
Ssiderea000374,-0.0675198340660116
Ssiderea000375,-0.103618843800741
Ssiderea000376,NA
Ssiderea000377,0.128541651971225
Ssiderea000378,0.396033245707202
Ssiderea000379,-0.0946390057989413
Ssiderea000380,0.962745295938026
Ssiderea000383,NA
Ssiderea000384,-0.0264693572651971
Ssiderea000385,NA
Ssiderea000386,NA
Ssiderea000387,NA
Ssiderea000389,NA
Ssiderea000390,NA
Ssiderea000391,-0.625747186716026
Ssiderea000393,-0.54536519382312
Ssiderea000394,-0.218375838580139
Ssiderea000396,NA
Ssiderea000397,0.171229331338361
Ssiderea000398,NA
Ssiderea000399,0.242495152841397
Ssiderea000400,0.0928329727286007
Ssiderea000401,-0.0921740850588831
Ssiderea000402,0.00485385589725433
Ssiderea000403,-0.393223508088954
Ssiderea000406,NA
Ssiderea000407,NA
Ssiderea000413,-0.0883764781191832
Ssiderea000414,NA
Ssiderea000415,0.393223508088954
Ssiderea000416,-0.00215884818996134
Ssiderea000417,-0.0571606533363455
Ssiderea000418,NA
Ssiderea000419,-0.0787483838877063
Ssiderea000420,0.391308324369572
Ssiderea000421,NA
Ssiderea000422,0.0921980498949935
Ssiderea000423,0.22499852886447
Ssiderea000424,1.74913787639864
Ssiderea000426,NA
Ssiderea000427,1.1999448757879
Ssiderea000428,0.0429604435511987
Ssiderea000429,1.29606338197263
Ssiderea000430,0.599005667149442
Ssiderea000431,3.0768087100377
Ssiderea000432,NA
Ssiderea000433,-0.17054654816887
Ssiderea000435,NA
Ssiderea000436,NA
Ssiderea000439,0.225692175665185
Ssiderea000440,-0.774945057492646
Ssiderea000441,0.594466154437029
Ssiderea000442,0.0131072445500959
Ssiderea000443,NA
Ssiderea000444,-0.136605665114006
Ssiderea000445,-0.344258063341417
Ssiderea000447,0.134488194565236
Ssiderea000448,-0.156666316557346
Ssiderea000451,0.230956079422904
Ssiderea000452,-1.44562440915413
Ssiderea000453,NA
Ssiderea000454,NA
Ssiderea000455,0.0462136973964742
Ssiderea000456,NA
Ssiderea000457,0.644152732560621
Ssiderea000458,NA
Ssiderea000459,-0.301303564370493
Ssiderea000460,0.262045596288435
Ssiderea000461,-0.489027517058894
Ssiderea000462,0.390737216505783
Ssiderea000463,0.12536031971015
Ssiderea000464,-0.100782585323489
Ssiderea000466,0.267989936362163
Ssiderea000467,NA
Ssiderea000469,-0.20340542728373
Ssiderea000470,-0.274537664046496
Ssiderea000471,NA
Ssiderea000472,NA
Ssiderea000473,NA
Ssiderea000476,NA
Ssiderea000477,NA
Ssiderea000479,NA
Ssiderea000480,0.0504056668135734
Ssiderea000481,-0.674581047149667
Ssiderea000482,NA
Ssiderea000483,0.0557069233610009
Ssiderea000493,-0.0568246463417064
Ssiderea000494,NA
Ssiderea000495,NA
Ssiderea000497,NA
Ssiderea000498,NA
Ssiderea000500,NA
Ssiderea000501,NA
Ssiderea000502,0.532835793197994
Ssiderea000504,NA
Ssiderea000505,0.421498396567547
Ssiderea000507,0.199156301784415
Ssiderea000510,0.0931419699523166
Ssiderea000511,NA
Ssiderea000520,0.0409841860295722
Ssiderea000521,NA
Ssiderea000522,0.515885054957647
Ssiderea000523,0.469360281727574
Ssiderea000524,NA
Ssiderea000525,0.346781401744914
Ssiderea000527,NA
Ssiderea000528,-0.017998688403869
Ssiderea000529,NA
Ssiderea000530,-0.0751362583769667
Ssiderea000531,0.000500744381315646
Ssiderea000533,-0.0415854883528301
Ssiderea000534,0.428305384523844
Ssiderea000535,-0.221717089956217
Ssiderea000536,-1.45140883683657
Ssiderea000538,0.230683509592673
Ssiderea000539,-0.560568194177203
Ssiderea000541,NA
Ssiderea000544,NA
Ssiderea000545,NA
Ssiderea000546,-0.197835538888241
Ssiderea000547,-0.358797056509497
Ssiderea000548,-0.424172137597499
Ssiderea000549,0.0121762498031227
Ssiderea000550,-1.78354605763152
Ssiderea000552,-0.0161096688542459
Ssiderea000553,NA
Ssiderea000554,-0.282341604256519
Ssiderea000555,-0.282316294299966
Ssiderea000556,-0.345882693416094
Ssiderea000557,1.0473331696492
Ssiderea000558,0.829322413352079
Ssiderea000559,0.221411083536937
Ssiderea000560,0.430594348628711
Ssiderea000561,-0.514299114665078
Ssiderea000562,NA
Ssiderea000563,NA
Ssiderea000565,NA
Ssiderea000566,0.00944192213230643
Ssiderea000567,NA
Ssiderea000568,NA
Ssiderea000569,0.367027359242475
Ssiderea000570,-0.0137417236794825
Ssiderea000571,0.0972806703722488
Ssiderea000572,0.0695802180788708
Ssiderea000574,-0.05648011251632
Ssiderea000577,0.134405037206544
Ssiderea000578,NA
Ssiderea000580,NA
Ssiderea000581,NA
Ssiderea000582,-0.291706784880748
Ssiderea000583,NA
Ssiderea000584,-0.00231199459071052
Ssiderea000586,-0.352453360719932
Ssiderea000587,0.161960397569568
Ssiderea000588,0.124200566403861
Ssiderea000592,-0.0105295889592363
Ssiderea000595,NA
Ssiderea000596,NA
Ssiderea000598,-0.063001307164964
Ssiderea000600,-0.251447379776952
Ssiderea000601,-1.08356296398192
Ssiderea000603,0.00690692414602573
Ssiderea000604,-0.00106570259865412
Ssiderea000605,0.44351794170881
Ssiderea000606,NA
Ssiderea000608,0.074844067762718
Ssiderea000609,-0.152858158684457
Ssiderea000610,0.557537916698619
Ssiderea000611,1.11600968043485
Ssiderea000612,0.617085567337575
Ssiderea000613,-0.145937457776468
Ssiderea000614,NA
Ssiderea000615,0.117659901981098
Ssiderea000616,0.0173411088805967
Ssiderea000617,-0.155804089370414
Ssiderea000618,NA
Ssiderea000619,-1.13069352233967
Ssiderea000621,NA
Ssiderea000623,NA
Ssiderea000624,NA
Ssiderea000627,NA
Ssiderea000628,NA
Ssiderea000629,-0.0730640642704091
Ssiderea000631,-0.213097179561025
Ssiderea000634,0.254908183625379
Ssiderea000635,NA
Ssiderea000636,0.822162963902667
Ssiderea000637,NA
Ssiderea000639,NA
Ssiderea000641,-2.28546297299717
Ssiderea000643,2.136438187965
Ssiderea000644,NA
Ssiderea000650,-3.04636337162568
Ssiderea000651,0.483151541853125
Ssiderea000652,0.0417973609756529
Ssiderea000653,-0.18629034650956
Ssiderea000654,-0.132021491372828
Ssiderea000656,NA
Ssiderea000662,-0.128376501482644
Ssiderea000663,-0.371636071151349
Ssiderea000664,NA
Ssiderea000665,NA
Ssiderea000666,-2.02037199495735
Ssiderea000667,-0.0661082304131973
Ssiderea000669,0.382061225083881
Ssiderea000671,NA
Ssiderea000672,-1.39492441685285
Ssiderea000673,-0.259074137320167
Ssiderea000675,-0.103256404738946
Ssiderea000676,1.09692319398724
Ssiderea000677,0.57612011381233
Ssiderea000678,2.58592067569563
Ssiderea000679,0.772496944268044
Ssiderea000680,1.02910356488107
Ssiderea000681,-0.0489333269146146
Ssiderea000682,NA
Ssiderea000683,-0.557467210148512
Ssiderea000684,0.366659763375741
Ssiderea000685,NA
Ssiderea000686,-0.00256282512459005
Ssiderea000687,-0.0808666204215657
Ssiderea000688,0.125490836937404
Ssiderea000689,1.37301103936789
Ssiderea000690,-0.0736836278044427
Ssiderea000691,-0.107753060045701
Ssiderea000692,0.0956500549759877
Ssiderea000693,-0.248211557712825
Ssiderea000694,-0.273903292554425
Ssiderea000695,0.0969664950663374
Ssiderea000696,NA
Ssiderea000699,0.712338667060628
Ssiderea000700,NA
Ssiderea000701,-0.196295198932285
Ssiderea000702,-0.118985364185715
Ssiderea000703,-1.02488751150819
Ssiderea000704,-0.125177792518743
Ssiderea000705,-0.199494453038198
Ssiderea000706,-0.310520820752161
Ssiderea000707,0.345483280170051
Ssiderea000710,-0.424139189511613
Ssiderea000711,0.129721106701275
Ssiderea000712,0.382061225083881
Ssiderea000713,NA
Ssiderea000714,NA
Ssiderea000715,NA
Ssiderea000716,NA
Ssiderea000717,-0.108709622840726
Ssiderea000718,-0.649662237625432
Ssiderea000719,NA
Ssiderea000720,0.123075683730653
Ssiderea000723,NA
Ssiderea000724,NA
Ssiderea000725,NA
Ssiderea000726,NA
Ssiderea000728,NA
Ssiderea000730,NA
Ssiderea000732,-0.165864750926276
Ssiderea000733,NA
Ssiderea000734,0.111052961222335
Ssiderea000735,-0.00494497220720088
Ssiderea000736,NA
Ssiderea000737,-0.928332623291815
Ssiderea000738,0.0321172655212087
Ssiderea000739,NA
Ssiderea000742,-0.18625718537849
Ssiderea000743,NA
Ssiderea000744,0.722985469642943
Ssiderea000747,-0.409947318343035
Ssiderea000748,-0.342364084308628
Ssiderea000749,-0.237294889187271
Ssiderea000750,NA
Ssiderea000753,0.143801397786495
Ssiderea000754,0.0186332349930055
Ssiderea000755,-0.156912669539208
Ssiderea000756,NA
Ssiderea000757,-0.190879709273681
Ssiderea000758,0.0124620029349541
Ssiderea000759,-0.285312254886766
Ssiderea000760,-0.084922689127869
Ssiderea000761,0.392696336989484
Ssiderea000765,-0.0390789768687876
Ssiderea000766,NA
Ssiderea000768,-0.326898550156316
Ssiderea000769,-0.107821707159755
Ssiderea000770,0.54552050071197
Ssiderea000771,-0.0637729014417418
Ssiderea000772,0.116200571432082
Ssiderea000773,-0.0279084840804696
Ssiderea000774,-0.0969941986679418
Ssiderea000775,0.0541373807660855
Ssiderea000777,-0.101442594204886
Ssiderea000778,0.119103271023315
Ssiderea000780,0.0892852954206467
Ssiderea000781,NA
Ssiderea000784,0.0766954993598212
Ssiderea000785,NA
Ssiderea000786,-0.0947733174615624
Ssiderea000787,0.10833117345299
Ssiderea000789,0.140812777472033
Ssiderea000791,1.67066910919624
Ssiderea000793,NA
Ssiderea000794,NA
Ssiderea000795,-0.625661668525244
Ssiderea000796,-0.0830353067315883
Ssiderea000799,NA
Ssiderea000801,0.244401805741053
Ssiderea000802,0.758424559028949
Ssiderea000803,1.52794846103359
Ssiderea000804,0.0499019372665256
Ssiderea000805,0.904454747581015
Ssiderea000806,0.505657251396423
Ssiderea000809,0.00249974581939532
Ssiderea000811,0.000952383176535267
Ssiderea000812,0.00311683472275148
Ssiderea000813,NA
Ssiderea000814,NA
Ssiderea000817,-0.535769880951707
Ssiderea000819,-0.674606337593952
Ssiderea000821,-0.000589325568856858
Ssiderea000822,1.48234385190819
Ssiderea000824,0.156805678975188
Ssiderea000825,1.02545865680061
Ssiderea000826,0.46323005817354
Ssiderea000827,0.0315671194503899
Ssiderea000828,-0.0028691012094707
Ssiderea000829,-0.134659298357993
Ssiderea000830,0.0386377009280375
Ssiderea000831,0.0744920766876088
Ssiderea000832,-0.271971590680765
Ssiderea000834,0.125691061927513
Ssiderea000835,0.681908102220346
Ssiderea000836,0.139528025842647
Ssiderea000837,0.00287264743335049
Ssiderea000839,-0.352608759224674
Ssiderea000840,-0.35805890570671
Ssiderea000841,-0.110349912006218
Ssiderea000842,-0.25620315614214
Ssiderea000843,4.07424132672729
Ssiderea000844,-0.223966782398914
Ssiderea000845,-0.526417830459116
Ssiderea000847,NA
Ssiderea000848,-0.171534040604839
Ssiderea000849,NA
Ssiderea000850,NA
Ssiderea000851,1.87827216284669
Ssiderea000852,0.294371452005361
Ssiderea000853,NA
Ssiderea000855,-0.0568739483237997
Ssiderea000856,0.305870414506046
Ssiderea000857,2.73079334786048
Ssiderea000858,-0.173293978633938
Ssiderea000859,1.52360179780206
Ssiderea000861,-0.491958951439837
Ssiderea000862,0.059203649630147
Ssiderea000863,0.0497934596917024
Ssiderea000864,0.16805645581948
Ssiderea000865,0.00531642350427765
Ssiderea000866,NA
Ssiderea000867,NA
Ssiderea000868,NA
Ssiderea000869,NA
Ssiderea000870,-0.604295247363129
Ssiderea000871,0.135875126837372
Ssiderea000872,0.537342231202373
Ssiderea000873,-0.216105205127341
Ssiderea000874,-0.0856584198317626
Ssiderea000875,0.361996594737018
Ssiderea000877,0.0655063121684344
Ssiderea000878,NA
Ssiderea000886,0.194370370065219
Ssiderea000887,-1.05156939031905
Ssiderea000888,-0.270428527403153
Ssiderea000889,-4.7932832913444
Ssiderea000891,-0.331193134956356
Ssiderea000892,NA
Ssiderea000894,NA
Ssiderea000896,0.193563399247854
Ssiderea000897,-0.160587323879185
Ssiderea000900,-1.06636668534259
Ssiderea000901,-6.29495813272127
Ssiderea000902,-0.139849185625895
Ssiderea000903,1.75784528744813
Ssiderea000904,0.538352595919943
Ssiderea000905,-0.00608000105944947
Ssiderea000906,0.646613887312327
Ssiderea000908,-0.3077283676816
Ssiderea000909,0.0250812597748961
Ssiderea000910,-0.0454366757871325
Ssiderea000911,-0.326976510434918
Ssiderea000913,-0.0101479942905817
Ssiderea000914,-0.0458340822926487
Ssiderea000916,NA
Ssiderea000917,0.48600454799631
Ssiderea000918,NA
Ssiderea000920,-0.0769854043504863
Ssiderea000921,NA
Ssiderea000922,0.173268440575462
Ssiderea000924,-0.0355422950422822
Ssiderea000926,NA
Ssiderea000927,NA
Ssiderea000928,0.117708241741079
Ssiderea000929,-0.0348534951704125
Ssiderea000930,0.298543933455141
Ssiderea000931,-0.0192688260546493
Ssiderea000932,0.0107099364147021
Ssiderea000933,NA
Ssiderea000934,0.0270370631520405
Ssiderea000935,0.0509266089678364
Ssiderea000936,-0.0254285331490367
Ssiderea000937,1.04495756096606
Ssiderea000938,0.654701926421746
Ssiderea000939,NA
Ssiderea000941,-0.0348534951704125
Ssiderea000942,0.200153065913719
Ssiderea000943,-0.031108240420228
Ssiderea000945,0.0223730264655928
Ssiderea000946,-0.810441059227208
Ssiderea000947,-2.15031107255066
Ssiderea000948,0.241591524894043
Ssiderea000949,NA
Ssiderea000951,NA
Ssiderea000954,-0.0731167591641934
Ssiderea000955,0.945908400185037
Ssiderea000956,-0.967678727225937
Ssiderea000957,-0.0661590916249908
Ssiderea000958,0.321597921302694
Ssiderea000960,-0.87298281830405
Ssiderea000961,0.0150670162328329
Ssiderea000962,0.516640923796325
Ssiderea000963,-0.145780757472515
Ssiderea000964,-0.759220721306425
Ssiderea000965,NA
Ssiderea000966,NA
Ssiderea000967,-0.267852181886373
Ssiderea000973,NA
Ssiderea000974,NA
Ssiderea000975,-0.092263879895045
Ssiderea000976,-0.190273268848937
Ssiderea000977,NA
Ssiderea000978,0.124951364364652
Ssiderea000979,-0.156666316557346
Ssiderea000980,NA
Ssiderea000983,0.196050128486909
Ssiderea000986,1.05156939031905
Ssiderea000989,-0.341361278430142
Ssiderea000990,-0.085944822831583
Ssiderea000991,-0.0728626883013663
Ssiderea000992,-0.191829393278088
Ssiderea000994,-0.40911508440293
Ssiderea000995,0.248350307488172
Ssiderea000996,-0.0203363665272636
Ssiderea000998,NA
Ssiderea001000,-0.0313061904713033
Ssiderea001001,0.259055684621106
Ssiderea001003,1.84574123229839
Ssiderea001004,NA
Ssiderea001005,NA
Ssiderea001007,-0.302980938953628
Ssiderea001008,0.176080716825786
Ssiderea001009,0.211182582898772
Ssiderea001010,NA
Ssiderea001011,NA
Ssiderea001012,-0.100069442505778
Ssiderea001014,0.299250516112293
Ssiderea001015,0.210141772400196
Ssiderea001016,-0.16805645581948
Ssiderea001017,NA
Ssiderea001018,NA
Ssiderea001019,NA
Ssiderea001020,NA
Ssiderea001021,-0.285178330548627
Ssiderea001022,-0.0853465366744666
Ssiderea001023,0.0836067349842231
Ssiderea001025,-0.748387704987867
Ssiderea001026,NA
Ssiderea001028,NA
Ssiderea001029,NA
Ssiderea001032,-0.233105069465683
Ssiderea001033,NA
Ssiderea001034,NA
Ssiderea001035,NA
Ssiderea001036,-0.021648710639179
Ssiderea001037,-0.222335311919004
Ssiderea001038,0.357654325352421
Ssiderea001040,NA
Ssiderea001041,-0.015319589299191
Ssiderea001043,NA
Ssiderea001044,NA
Ssiderea001045,NA
Ssiderea001046,-0.030882763132043
Ssiderea001047,-0.313730628126363
Ssiderea001049,NA
Ssiderea001050,0.153706051882594
Ssiderea001051,0.0795468009383148
Ssiderea001052,NA
Ssiderea001053,1.00367047931679
Ssiderea001054,-0.553542593084496
Ssiderea001055,0.406865115727018
Ssiderea001056,-0.206437844783695
Ssiderea001057,NA
Ssiderea001058,0.189907977876072
Ssiderea001059,-0.32571501613042
Ssiderea001060,0.00995129800540948
Ssiderea001061,-0.0300644538620138
Ssiderea001062,0.00107620305670001
Ssiderea001063,0.578002826536495
Ssiderea001065,-0.243440850756084
Ssiderea001066,-0.0483131653008318
Ssiderea001067,-0.0289905858019842
Ssiderea001068,NA
Ssiderea001069,0.378796400759914
Ssiderea001070,-0.0846825537050911
Ssiderea001071,-0.0366678215795453
Ssiderea001072,-0.156556071524937
Ssiderea001073,-0.212163033430848
Ssiderea001074,-0.127150328924237
Ssiderea001075,-0.620259811382389
Ssiderea001076,-0.512883334106139
Ssiderea001077,-0.132519256421621
Ssiderea001078,0.107821707159755
Ssiderea001079,-0.12260425792565
Ssiderea001080,0.0421545582667552
Ssiderea001081,-0.04249754092998
Ssiderea001082,-0.206437844783695
Ssiderea001083,-0.959779163627947
Ssiderea001084,-0.186932905021672
Ssiderea001087,0.0910740543154987
Ssiderea001088,0.0778644978664305
Ssiderea001089,-0.198430335657868
Ssiderea001090,-0.752608569688936
Ssiderea001092,NA
Ssiderea001093,0.690267508850401
Ssiderea001094,0.0109887493723257
Ssiderea001096,0.237864328060954
Ssiderea001097,-0.0173568600463611
Ssiderea001098,NA
Ssiderea001099,-2.28546297299717
Ssiderea001100,-1.46918300412056
Ssiderea001101,-0.0450896426586582
Ssiderea001103,NA
Ssiderea001104,0.144857005067764
Ssiderea001105,0.0317454583971384
Ssiderea001106,0.201639789182503
Ssiderea001107,0.0933209515863675
Ssiderea001108,NA
Ssiderea001111,0.19904215642475
Ssiderea001113,1.04876616529814
Ssiderea001120,0.505657251396423
Ssiderea001121,-0.325687364936221
Ssiderea001122,-0.0124620029349541
Ssiderea001123,NA
Ssiderea001124,-0.011590452180455
Ssiderea001125,NA
Ssiderea001126,-0.0386787403632277
Ssiderea001127,0.0138238214244849
Ssiderea001128,0.147626389256171
Ssiderea001129,NA
Ssiderea001130,-0.270929253304938
Ssiderea001131,NA
Ssiderea001132,0.0795468009383148
Ssiderea001133,-0.143384207558482
Ssiderea001134,NA
Ssiderea001135,-0.195630846572456
Ssiderea001138,-0.0347240953225799
Ssiderea001139,NA
Ssiderea001140,NA
Ssiderea001141,NA
Ssiderea001144,-0.10351509746737
Ssiderea001146,-0.064400843809175
Ssiderea001147,NA
Ssiderea001148,0.0715812175315324
Ssiderea001149,0.106529049115389
Ssiderea001150,-0.135627250448454
Ssiderea001151,-0.275430566887789
Ssiderea001153,NA
Ssiderea001154,NA
Ssiderea001155,NA
Ssiderea001156,-0.0640695893465294
Ssiderea001158,0.944471360601763
Ssiderea001159,NA
Ssiderea001161,-0.501377200686313
Ssiderea001162,NA
Ssiderea001163,-0.147409501139127
