"row_label","comparison","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.LH_CC"
"Bleaching vs OA_1","Bleaching vs OA","Ssiderea003526",1.30691080116163,-1.31792696245446,"-","",1.30691080116163,-1.31792696245446,"Inverse",1.30691080116163,1.31792696245446,0.0110161612928252,0.0493275106297309,0.0480920220485959,1.02569009429228,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_2","Bleaching vs OA","Ssiderea004864",-1.59877037389996,2.87379248753139,NA,NA,-1.59877037389996,2.87379248753139,"Inverse",1.59877037389996,2.87379248753139,1.27502211363142,0.0251900846021437,0.0013372343146909,18.837450045519,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_3","Bleaching vs OA","Ssiderea006435",1.22057071040207,-2.47507155275618,"structural constituent of ribosome","Translation, ribosomal structure and biogenesis",1.22057071040207,-2.47507155275618,"Inverse",1.22057071040207,2.47507155275618,1.25450084235411,0.0601768276987223,0.00334910256034186,17.9680456523791,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_4","Bleaching vs OA","Ssiderea007939",1.09386778640167,-1.15695658218605,"structural constituent of ribosome","Translation, ribosomal structure and biogenesis",1.09386778640167,-1.15695658218605,"Inverse",1.09386778640167,1.15695658218605,0.063088795784388,0.0805623662347693,0.0696696161581748,1.15634864489369,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_5","Bleaching vs OA","Ssiderea009999",1.99713762667243,-102.031763995054,"Acid trehalase-like","Carbohydrate transport and metabolism",1.99713762667243,-102.031763995054,"Inverse",1.99713762667243,102.031763995054,100.034626368381,0.0100661262565614,9.29471344250113e-103,1.08299479255949e+100,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_6","Bleaching vs OA","Ssiderea014540",1.17323138528773,-5.09279020556915,"RNA-binding protein Musashi homolog","RNA processing and modification",1.17323138528773,-5.09279020556915,"Inverse",1.17323138528773,5.09279020556915,3.91955882028143,0.0671071221443653,8.07625075096547e-06,8309.1924970684,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_7","Bleaching vs OA","Ssiderea015151",1.12870377515916,-2.3964353371181,"serine arginine-rich splicing factor","RNA processing and modification",1.12870377515916,-2.3964353371181,"Inverse",1.12870377515916,2.3964353371181,1.26773156195894,0.0743526111426362,0.00401388257229093,18.5238630686197,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_8","Bleaching vs OA","Ssiderea015272",1.46781205730669,-1.08268493546703,"protein-cysteine S-acyltransferase activity","Function Unknown",1.46781205730669,-1.08268493546703,"Inverse",1.46781205730669,1.08268493546703,0.385127121839663,0.0340555534601439,0.0826637426884051,2.4273204893043,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_9","Bleaching vs OA","Ssiderea015602",1.31255293980622,-2.40639903469963,"translational elongation","Translation, ribosomal structure and biogenesis",1.31255293980622,-2.40639903469963,"Inverse",1.31255293980622,2.40639903469963,1.09384609489341,0.0486908168217322,0.00392284334463544,12.4121236929631,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_10","Bleaching vs OA","Ssiderea023369",1.01954821873977,-2.60023102523088,"L-lactate","Energy production and conversion",1.01954821873977,-2.60023102523088,"Inverse",1.01954821873977,2.60023102523088,1.58068280649112,0.0955986548090503,0.00251055057566734,38.0787607848286,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
