"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1","Ssiderea000011",-1.70949349111437,-1.15317659048214,"Clusterin-associated protein 1","Transcription",NA,NA
"2","Ssiderea000015",-1.0042449159751,-1.54559580731745,NA,NA,NA,NA
"3","Ssiderea000224",1.54479433391909,1.07941440906401,NA,NA,NA,NA
"4","Ssiderea000237",-2.18465160481655,-1.14633649174678,"Aminotransferase class-V","Translation, ribosomal structure and biogenesis",NA,NA
"5","Ssiderea000427",1.37031711226822,1.1999448757879,NA,NA,NA,NA
"6","Ssiderea000429",1.48674554542556,1.29606338197263,NA,NA,NA,NA
"7","Ssiderea000611",2.17404247091946,1.11600968043485,"V-myc avian myelocytomatosis viral oncogene homolog","Transcription",NA,NA
"8","Ssiderea000641",-1.80525008962989,-2.28546297299717,NA,NA,NA,NA
"9","Ssiderea000666",-2.81193720742504,-2.02037199495735,"rRNA (cytosine-N4-)-methyltransferase activity","Cell wall/membrane/envelope biogenesis",NA,NA
"10","Ssiderea000887",-1.63400198219898,-1.05156939031905,NA,NA,NA,NA
"11","Ssiderea000947",-1.02614642642435,-2.15031107255066,NA,NA,NA,NA
"12","Ssiderea001003",1.26412274069948,1.84574123229839,NA,NA,NA,NA
"13","Ssiderea001053",1.30826412984483,1.00367047931679,NA,NA,NA,NA
"14","Ssiderea001099",-3.2768429580319,-2.28546297299717,"electron-transferring-flavoprotein dehydrogenase activity","Function Unknown",NA,NA
"15","Ssiderea001224",1.11429699765651,1.47116758627242,NA,NA,NA,NA
"16","Ssiderea001235",-2.02806470510376,-3.28649077520387,NA,NA,NA,NA
"17","Ssiderea001255",1.01659999049087,1.36606849723778,"Activating transcription factor","Transcription",NA,NA
"18","Ssiderea001546",1.36351073106027,2.17513486506377,NA,NA,NA,NA
"19","Ssiderea001555",1.75796217767752,3.29140709333757,NA,NA,NA,NA
"20","Ssiderea001788",-1.08556968357443,-1.3823023034917,NA,NA,NA,NA
"21","Ssiderea001912",1.2094640848486,1.47950128663542,NA,NA,NA,NA
"22","Ssiderea001921",2.81249377359476,2.46720274985374,"axonal fasciculation","Signal transduction mechanisms",NA,NA
"23","Ssiderea002019",-1.11646889163545,-1.42445306542196,"potassium channel activity","Inorganic ion transport and metabolism",NA,NA
"24","Ssiderea002032",2.52495940386788,3.48009050049104,"sequence-specific DNA binding","Transcription",NA,NA
"25","Ssiderea002077",-1.17112008830507,-1.13092056640208,NA,NA,NA,NA
"26","Ssiderea002092",-3.97156497716633,-4.90222463614378,NA,NA,NA,NA
"27","Ssiderea002182",-1.89964924408457,-5.69334763758584,"ATPase activity, coupled to transmembrane movement of substances","Secondary metabolites biosynthesis, transport and catabolism",NA,NA
"28","Ssiderea002237",-1.31108948925337,-2.35986837016659,"Zona pellucida (ZP) domain","Posttranslational modification, protein turnover, chaperones",NA,NA
"29","Ssiderea002379",3.29001928982551,2.02349398880915,NA,NA,NA,NA
"30","Ssiderea002433",2.68528305031765,1.22823187007118,"protein cell adhesion","Signal transduction mechanisms",NA,NA
"31","Ssiderea002455",1.50014973898119,1.24251986798796,"fibroblast growth factor-activated receptor activity","Signal transduction mechanisms",NA,NA
