"","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv.LH_CC"
"1","Ssiderea000142",1.75220567360132,4.98360178516537,"myosin VI binding","Signal transduction mechanisms",NA
"2","Ssiderea000160",1.24522352933941,2.91178124866334,"Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a ATP6 static relative to the rotary elements","Energy production and conversion",NA
"3","Ssiderea001415",1.67060834924017,1.39891647925099,NA,NA,NA
"4","Ssiderea001921",1.32573355568843,4.54842205912074,"axonal fasciculation","Signal transduction mechanisms",NA
"5","Ssiderea002156",1.11121092639896,3.56456284190183,NA,NA,NA
"6","Ssiderea002627",-1.95877576943173,-2.19037606028643,NA,NA,NA
"7","Ssiderea003026",1.15704454687841,1.11019157243725,"collagen","Extracellular structures",NA
"8","Ssiderea003526",1.30691080116163,-1.31792696245446,"-","",NA
"9","Ssiderea003783",1.51771262840811,1.45832665413099,"ATP binding","Cytoskeleton",NA
"10","Ssiderea004149",1.64820465197808,1.66638389409203,"protein folding","Posttranslational modification, protein turnover, chaperones",NA
"11","Ssiderea004285",1.38883474140024,4.17884277627354,"Serine peptidase inhibitor, Kunitz type, 2","Posttranslational modification, protein turnover, chaperones",NA
"12","Ssiderea004288",2.81324542624695,1.79746417363638,NA,NA,NA
"13","Ssiderea004864",-1.59877037389996,2.87379248753139,NA,NA,NA
"14","Ssiderea004908",1.27892728462627,1.42677434788817,"Belongs to the enoyl-CoA hydratase isomerase family","Lipid transport and metabolism",NA
"15","Ssiderea005345",1.0539083233207,1.47418273355576,NA,NA,NA
"16","Ssiderea005375",1.16954638366433,7.13399893122755,NA,NA,NA
"17","Ssiderea005376",1.21938821691528,11.0168717882624,NA,NA,NA
"18","Ssiderea005967",1.1155167787832,3.14940636160962,"D-serine biosynthetic process","",NA
"19","Ssiderea006336",1.08867647140721,1.58792918390283,NA,NA,NA
"20","Ssiderea006406",5.76485083510172,1.08336653311949,NA,NA,NA
"21","Ssiderea006435",1.22057071040207,-2.47507155275618,"structural constituent of ribosome","Translation, ribosomal structure and biogenesis",NA
"22","Ssiderea006441",1.10160183777639,1.95920548207032,"gamete generation","Transcription",NA
"23","Ssiderea006779",1.45722056388848,3.35563385096827,"N-acetyltransferase 16","Function Unknown",NA
"24","Ssiderea006928",1.64053607537343,1.23783079895697,NA,NA,NA
"25","Ssiderea006932",1.64053607537343,2.02789519957335,NA,NA,NA
"26","Ssiderea007662",1.48328014923155,1.25523349674601,NA,NA,NA
"27","Ssiderea007918",-1.19570345257613,-1.82997913156842,"medium-chain fatty acid-CoA ligase activity","Lipid transport and metabolism",NA
"28","Ssiderea007939",1.09386778640167,-1.15695658218605,"structural constituent of ribosome","Translation, ribosomal structure and biogenesis",NA
"29","Ssiderea008293",1.07446476951047,5.448443581089,"UPF0728 protein C10orf53 homolog","Function Unknown",NA
"30","Ssiderea009538",1.00880479007692,6.25379970252073,"Histone h2b","Chromatin structure and dynamics",NA
"31","Ssiderea009999",1.99713762667243,-102.031763995054,"Acid trehalase-like","Carbohydrate transport and metabolism",NA
"32","Ssiderea010040",1.04819293861646,5.48123633401856,"NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain","Function Unknown",NA
"33","Ssiderea010197",1.00307072817822,1.60143337851403,"Connector enhancer of kinase suppressor of ras","Signal transduction mechanisms",NA
"34","Ssiderea010376",1.03931306238075,2.32106546910556,"homogentisate 1,2-dioxygenase activity","Amino acid transport and metabolism",NA
"35","Ssiderea010433",1.24233785281648,1.9381788715694,"Chromosome 11 open reading frame 65","Function Unknown",NA
"36","Ssiderea010852",1.13212132039594,1.15473281045656,"respiratory system process","Signal transduction mechanisms",NA
"37","Ssiderea011174",3.53570751571451,1.48887132491577,"serine-type endopeptidase inhibitor activity","Posttranslational modification, protein turnover, chaperones",NA
"38","Ssiderea011646",1.03254756757463,10.9031193121613,"Scavenger receptor Cys-rich","Signal transduction mechanisms",NA
"39","Ssiderea012121",1.27562229339564,1.5426320913243,"Lipoxygenase homology","Function Unknown",NA
"40","Ssiderea012122",3.27220612207994,2.92864096696876,"Lipoxygenase homology","",NA
