gene,Fish_kME
Ssiderea000001,0.421001274128371
Ssiderea000005,0
Ssiderea000008,0
Ssiderea000009,0
Ssiderea000011,0.662582459946383
Ssiderea000012,0.662157609470272
Ssiderea000015,0.758103242140725
Ssiderea000019,-0.124167245115368
Ssiderea000020,0.0514664052128859
Ssiderea000025,-0.13292737117142
Ssiderea000032,0.0509294473099642
Ssiderea000033,0
Ssiderea000044,0.916254376729233
Ssiderea000050,0.270137743022177
Ssiderea000053,0.235745816888983
Ssiderea000062,0
Ssiderea000081,0
Ssiderea000083,0.71670989946118
Ssiderea000084,0.597776611220668
Ssiderea000100,0
Ssiderea000101,0
Ssiderea000102,0.844159883035052
Ssiderea000105,0.440294429067954
Ssiderea000106,-0.0167389092727662
Ssiderea000109,0.299680283877447
Ssiderea000110,0
Ssiderea000111,-0.0265462715008018
Ssiderea000112,0
Ssiderea000113,0
Ssiderea000114,0
Ssiderea000117,0.467449116137371
Ssiderea000120,0.16635641399044
Ssiderea000124,0
Ssiderea000128,0.766507504081694
Ssiderea000130,0.138463810990306
Ssiderea000133,0
Ssiderea000135,0
Ssiderea000136,0.3226872095172
Ssiderea000138,-0.00445078742474244
Ssiderea000140,0
Ssiderea000142,0
Ssiderea000143,0.632048527250228
Ssiderea000147,0
Ssiderea000155,0.355589602339287
Ssiderea000158,0.34699057869978
Ssiderea000159,0
Ssiderea000160,0
Ssiderea000162,0.881660736224988
Ssiderea000164,0
Ssiderea000165,0
Ssiderea000166,0.585194199773805
Ssiderea000167,0
Ssiderea000168,0
Ssiderea000169,0
Ssiderea000170,0
Ssiderea000172,0
Ssiderea000173,0
Ssiderea000175,0
Ssiderea000176,0.25906970441982
Ssiderea000178,0.745511922072336
Ssiderea000179,0
Ssiderea000180,0.163895973583234
Ssiderea000182,0
Ssiderea000183,0.369839280918908
Ssiderea000184,0.141032154675531
Ssiderea000189,0
Ssiderea000190,0.718670572313818
Ssiderea000192,0
Ssiderea000193,0.543073817951552
Ssiderea000194,0
Ssiderea000195,0
Ssiderea000196,0.108420771679103
Ssiderea000197,-0.0530051582007672
Ssiderea000199,0
Ssiderea000201,0.517378621937765
Ssiderea000204,0
Ssiderea000205,0
Ssiderea000206,0
Ssiderea000207,0
Ssiderea000209,0
Ssiderea000210,0.379263364872152
Ssiderea000211,0.315071004116243
Ssiderea000212,0
Ssiderea000215,0.365193386312165
Ssiderea000216,0
Ssiderea000219,0
Ssiderea000222,0
Ssiderea000223,0.886718730954806
Ssiderea000224,0
Ssiderea000225,-0.0827184094650697
Ssiderea000227,0.0749750280673186
Ssiderea000229,0.0924023364805679
Ssiderea000231,-0.0796547061723342
Ssiderea000232,0
Ssiderea000233,0.215652551636837
Ssiderea000234,0.0183244581500257
Ssiderea000236,0
Ssiderea000237,0.684916955692998
Ssiderea000238,0
Ssiderea000240,0.682083506783854
Ssiderea000242,-0.0977480471666449
Ssiderea000246,0.712797376618319
Ssiderea000247,0.409869829502588
Ssiderea000249,0.137186755545277
Ssiderea000258,0
Ssiderea000261,0
Ssiderea000278,0.533212524279148
Ssiderea000302,0.176084653900641
Ssiderea000306,0
Ssiderea000309,0.790211988682078
Ssiderea000311,0.0237472397776799
Ssiderea000321,0
Ssiderea000326,0
Ssiderea000327,-0.121932973108305
Ssiderea000335,0.309682398727971
Ssiderea000339,0.277939118243203
Ssiderea000343,0
Ssiderea000349,0.666465364635222
Ssiderea000353,-0.026225936105179
Ssiderea000354,0.34774825985221
Ssiderea000355,0.676666236690893
Ssiderea000357,0
Ssiderea000358,0.220575995328281
Ssiderea000360,0.0755689630389335
Ssiderea000361,0.258462800839034
