"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid","rel_class","abs_ofav","abs_ssid","delta_log10p","p_ofav","p_ssid","p_ratio","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","treatment"
"OA.1","LC_CC","OG0000430","Ofaveolata016514","Ssiderea034936",-1.22057071040207,2.84316654282264,NA,"Cell adhesion molecule",NA,"Signal transduction mechanisms","Inverse",2.84316654282264,1.22057071040207,1.62259583242057,0.00143493905880674,0.0601768276987227,41.9368525300052,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.2","LC_CC","OG0002369","Ofaveolata005198","Ssiderea042257",1.3145652820879,-1.19376770569736,"calcium ion binding","Eps15 homology domain","Intracellular trafficking, secretion, and vesicular transport","","Inverse",1.19376770569736,1.3145652820879,0.12079757639054,0.064007710671556,0.048465725465145,1.32067992498303,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.3","LC_CC","OG0005102","Ofaveolata024216","Ssiderea006447",1.10052889977246,-1.44668436549174,"FKBP-type peptidyl-prolyl cis-trans isomerase","FKBP-type peptidyl-prolyl cis-trans isomerase","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.44668436549174,1.10052889977246,0.34615546571928,0.0357532589609941,0.0793361461428467,2.218990616475,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.4","LC_CC","OG0005114","Ofaveolata000277","Ssiderea029508",1.00207237378561,-1.46300440695452,"podosome assembly","podosome assembly","Cytoskeleton","Cytoskeleton","Inverse",1.46300440695452,1.00207237378561,0.46093203316891,0.0344346436528787,0.0995239550045165,2.89022752806087,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.5","LC_CC","OG0005604","Ofaveolata033695","Ssiderea053627",1.00076078865555,-1.51566711833014,NA,"Cupin-like domain",NA,"","Inverse",1.51566711833014,1.00076078865555,0.51490632967459,0.0305023206124749,0.0998249752854911,3.27270100376115,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.6","LC_CC","OG0006285","Ofaveolata027055","Ssiderea042128",1.40686144584992,-1.68597606440008,"Myosin, light","Myosin, light","Cytoskeleton","Cytoskeleton","Inverse",1.68597606440008,1.40686144584992,0.27911461855016,0.0206074348545302,0.0391866875522821,1.90158007674922,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.7","LC_CC","OG0006775","Ofaveolata028207","Ssiderea033260",1.57999573705448,-1.84046334735272,"Cupin-like domain","Cupin-like domain","","","Inverse",1.84046334735272,1.57999573705448,0.26046761029824,0.0144389845817085,0.0263029381019299,1.82166120845166,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.8","LC_CC","OG0007627","Ofaveolata011375","Ssiderea019309",1.21814288802561,-2.50271832199385,"Universal stress protein family","Universal stress protein family","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",2.50271832199385,1.21814288802561,1.28457543396824,0.00314254624949883,0.0605141743200369,19.2564148673031,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.9","LC_CC","OG0008761","Ofaveolata022640","Ssiderea050122",-1.08867647140721,1.59744474692699,"carbohydrate binding","carbohydrate binding","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.59744474692699,1.08867647140721,0.50876827551978,0.0252670915000852,0.0815311425817957,3.22677196865024,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.10","LC_CC","OG0009918","Ofaveolata025486","Ssiderea039868",1.08882194059472,-1.61243671731311,"dolichyl-diphosphooligosaccharide-protein glycotransferase activity","dolichyl-diphosphooligosaccharide-protein glycotransferase activity","","","Inverse",1.61243671731311,1.08882194059472,0.52361477671839,0.0244097472576261,0.0815038378762221,3.33898737320022,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"OA.11","LC_CC","OG0011819","Ofaveolata002587","Ssiderea024437",1.25925624769155,-1.02884143809577,"Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2","Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2","Nucleotide transport and metabolism","Nucleotide transport and metabolism","Inverse",1.02884143809577,1.25925624769155,0.23041480959578,0.0935747255241322,0.0550482798035175,1.69986647826465,"Inverse","Inverse",NA,NA,NA,NA,NA,"OA"
"Bleaching.1","CH_CC","OG0000290","Ofaveolata010939","Ssiderea019959",-2.25987336062409,1.05890231775868,"GTPase activity","GTPase activity",NA,"Function Unknown","Inverse",1.05890231775868,2.25987336062409,1.20097104286541,0.0873167740651882,0.00549701142209749,15.8844083376255,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.2","CH_CC","OG0001587","Ofaveolata007545","Ssiderea006776",-4.46006102296186,1.84475148096015,"tyrosinase","tyrosinase",NA,"Function Unknown","Inverse",1.84475148096015,4.46006102296186,2.61530954200171,0.0142971185740563,3.46688133685392e-05,412.391344984148,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.3","CH_CC","OG0002249","Ofaveolata027035","Ssiderea018181",-1.74467194136805,1.44424346181025,NA,"non-membrane spanning protein tyrosine kinase activity",NA,"","Inverse",1.44424346181025,1.74467194136805,0.3004284795578,0.0359547719241101,0.018002302648355,1.99723183341746,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.4","CH_CC","OG0002668","Ofaveolata009577","Ssiderea058053",1.53167333592702,-1.03143050851954,"Mitochondrial carrier protein","Mitochondrial carrier protein","Energy production and conversion","Energy production and conversion","Inverse",1.03143050851954,1.53167333592702,0.50024282740748,0.0930185341846993,0.0293986010047538,3.16404628130631,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
