Orthogroup	Ofaveolata_out_PRO	Ssiderea_out_PRO
OG0000001	Ofaveolata034856	Ssiderea013157, Ssiderea003718, Ssiderea046202, Ssiderea039449, Ssiderea039476, Ssiderea039161, Ssiderea040572, Ssiderea040573, Ssiderea058790, Ssiderea024298, Ssiderea054056, Ssiderea039693, Ssiderea025444, Ssiderea025443, Ssiderea003716, Ssiderea003717, Ssiderea026181, Ssiderea039470, Ssiderea039473, Ssiderea010393, Ssiderea055442, Ssiderea039457, Ssiderea039461, Ssiderea039472, Ssiderea039469, Ssiderea039465, Ssiderea010392, Ssiderea009709, Ssiderea039458, Ssiderea039464, Ssiderea039487, Ssiderea046154, Ssiderea039453, Ssiderea046208, Ssiderea046210, Ssiderea003483, Ssiderea003485, Ssiderea046203, Ssiderea046149, Ssiderea046169, Ssiderea046201, Ssiderea046197, Ssiderea046207, Ssiderea046209, Ssiderea046200, Ssiderea046195, Ssiderea054007, Ssiderea039452, Ssiderea047685, Ssiderea045553, Ssiderea045551, Ssiderea045570, Ssiderea045573, Ssiderea045576, Ssiderea045568, Ssiderea045563, Ssiderea045569, Ssiderea045572, Ssiderea045555, Ssiderea039471, Ssiderea039446, Ssiderea039445, Ssiderea039451, Ssiderea039441, Ssiderea039448, Ssiderea039442, Ssiderea039444, Ssiderea039208, Ssiderea039219, Ssiderea039226, Ssiderea039216, Ssiderea039209, Ssiderea039228, Ssiderea039220, Ssiderea039203, Ssiderea039206, Ssiderea039223, Ssiderea039197, Ssiderea039224, Ssiderea039218, Ssiderea039217, Ssiderea039202, Ssiderea039211, Ssiderea039207, Ssiderea039225, Ssiderea039199, Ssiderea039200, Ssiderea039201, Ssiderea039204, Ssiderea039198, Ssiderea039196
OG0000002	Ofaveolata011486	Ssiderea045106, Ssiderea002547, Ssiderea002531, Ssiderea041190, Ssiderea002659, Ssiderea002705, Ssiderea041233, Ssiderea018701, Ssiderea027917, Ssiderea002528, Ssiderea002630, Ssiderea002621, Ssiderea002647, Ssiderea040955, Ssiderea002562, Ssiderea002485, Ssiderea002665, Ssiderea002660, Ssiderea002681, Ssiderea002673, Ssiderea002551, Ssiderea002603, Ssiderea002548, Ssiderea002652, Ssiderea002478, Ssiderea040954, Ssiderea040957, Ssiderea002607, Ssiderea002496, Ssiderea002709, Ssiderea041232, Ssiderea041237, Ssiderea002704, Ssiderea041246, Ssiderea041241, Ssiderea002582, Ssiderea040946, Ssiderea002699, Ssiderea002683, Ssiderea002565, Ssiderea041221, Ssiderea002527, Ssiderea002536, Ssiderea002653, Ssiderea002479, Ssiderea041191, Ssiderea041204, Ssiderea040978, Ssiderea002540, Ssiderea002594
OG0000008	Ofaveolata023937	Ssiderea045860, Ssiderea045862, Ssiderea045868, Ssiderea045866, Ssiderea045864, Ssiderea045863, Ssiderea015264, Ssiderea005983, Ssiderea004616, Ssiderea004606, Ssiderea004618, Ssiderea004620, Ssiderea004617, Ssiderea038978, Ssiderea038980, Ssiderea038984, Ssiderea004622, Ssiderea003912, Ssiderea003907, Ssiderea004599, Ssiderea004613, Ssiderea003795, Ssiderea004587, Ssiderea004578, Ssiderea051918, Ssiderea004610, Ssiderea004593, Ssiderea003803, Ssiderea004346, Ssiderea004362, Ssiderea004365, Ssiderea004371, Ssiderea012636, Ssiderea012633, Ssiderea012632, Ssiderea012631, Ssiderea017378
OG0000009	Ofaveolata034908	Ssiderea043710, Ssiderea043711, Ssiderea005124, Ssiderea005121, Ssiderea005180, Ssiderea005139, Ssiderea59626, Ssiderea057397, Ssiderea057399, Ssiderea057408, Ssiderea057405, Ssiderea057416, Ssiderea003083, Ssiderea047094, Ssiderea047097, Ssiderea043717, Ssiderea005392, Ssiderea005433, Ssiderea005410, Ssiderea005435, Ssiderea005413, Ssiderea005399, Ssiderea005403, Ssiderea005407, Ssiderea005430, Ssiderea015226, Ssiderea005115, Ssiderea005143, Ssiderea005141, Ssiderea005142, Ssiderea005155, Ssiderea005148, Ssiderea005158, Ssiderea005193, Ssiderea005186, Ssiderea005196, Ssiderea005160
OG0000010	Ofaveolata014652	Ssiderea004469, Ssiderea031659, Ssiderea031649, Ssiderea031666, Ssiderea034285, Ssiderea015964, Ssiderea015956, Ssiderea015937, Ssiderea018351, Ssiderea016914, Ssiderea016919, Ssiderea051349, Ssiderea051358, Ssiderea008635, Ssiderea034310, Ssiderea034318, Ssiderea048171, Ssiderea028760, Ssiderea020689, Ssiderea025253, Ssiderea008560, Ssiderea008659, Ssiderea008677, Ssiderea008667, Ssiderea011531, Ssiderea011541, Ssiderea032681, Ssiderea018757, Ssiderea055855, Ssiderea036137, Ssiderea008397, Ssiderea008355, Ssiderea008352, Ssiderea008417, Ssiderea008375
OG0000012	Ofaveolata034698, Ofaveolata034707, Ofaveolata035007, Ofaveolata034719, Ofaveolata034718, Ofaveolata034717, Ofaveolata035157, Ofaveolata035192, Ofaveolata035187, Ofaveolata035205, Ofaveolata035181, Ofaveolata035179, Ofaveolata035186, Ofaveolata035184, Ofaveolata035193, Ofaveolata035180, Ofaveolata035177, Ofaveolata035182, Ofaveolata035160, Ofaveolata036385, Ofaveolata035133, Ofaveolata035132, Ofaveolata035098, Ofaveolata035136, Ofaveolata035094, Ofaveolata035082, Ofaveolata035099, Ofaveolata035353, Ofaveolata035232, Ofaveolata035158, Ofaveolata029713, Ofaveolata003726, Ofaveolata003719	Ssiderea001556, Ssiderea031952
OG0000013	Ofaveolata035109	Ssiderea049677, Ssiderea031096, Ssiderea004328, Ssiderea030865, Ssiderea054181, Ssiderea033585, Ssiderea012524, Ssiderea007379, Ssiderea005088, Ssiderea029248, Ssiderea050396, Ssiderea046068, Ssiderea60947, Ssiderea030866, Ssiderea029458, Ssiderea048293, Ssiderea004330, Ssiderea011380, Ssiderea044271, Ssiderea037624, Ssiderea024786, Ssiderea044851, Ssiderea60473, Ssiderea009925, Ssiderea030880, Ssiderea017915, Ssiderea60587, Ssiderea048097, Ssiderea013708, Ssiderea007380, Ssiderea005089, Ssiderea60054, Ssiderea050397, Ssiderea052515
OG0000017	Ofaveolata036417	Ssiderea002432, Ssiderea056962, Ssiderea057030, Ssiderea057341, Ssiderea002340, Ssiderea057328, Ssiderea040824, Ssiderea040878, Ssiderea002415, Ssiderea002381, Ssiderea002409, Ssiderea002389, Ssiderea056984, Ssiderea002382, Ssiderea057353, Ssiderea040729, Ssiderea002356, Ssiderea017644, Ssiderea002347, Ssiderea002395, Ssiderea002373, Ssiderea002377, Ssiderea040863, Ssiderea057011, Ssiderea040783, Ssiderea056971, Ssiderea040850, Ssiderea040756, Ssiderea040841
OG0000020	Ofaveolata006293	Ssiderea048046, Ssiderea032676, Ssiderea032699, Ssiderea058277, Ssiderea032670, Ssiderea011043, Ssiderea011003, Ssiderea048018, Ssiderea032635, Ssiderea032644, Ssiderea032722, Ssiderea011002, Ssiderea048019, Ssiderea032717, Ssiderea032700, Ssiderea048040, Ssiderea032671, Ssiderea032677, Ssiderea058276, Ssiderea058272, Ssiderea011041, Ssiderea048020, Ssiderea058283, Ssiderea048024, Ssiderea032660, Ssiderea048053, Ssiderea011042
OG0000021	Ofaveolata036374, Ofaveolata036375, Ofaveolata036191, Ofaveolata036189, Ofaveolata036190, Ofaveolata035747, Ofaveolata035083, Ofaveolata035589, Ofaveolata035604, Ofaveolata035524, Ofaveolata035525, Ofaveolata035605, Ofaveolata034900, Ofaveolata035736, Ofaveolata034902, Ofaveolata034903, Ofaveolata034947, Ofaveolata034953, Ofaveolata034951, Ofaveolata034950, Ofaveolata034949, Ofaveolata034948, Ofaveolata034893, Ofaveolata034895, Ofaveolata034894	Ssiderea004207, Ssiderea004214
OG0000022	Ofaveolata035123	Ssiderea016471, Ssiderea016399, Ssiderea016391, Ssiderea016407, Ssiderea016462, Ssiderea016438, Ssiderea016448, Ssiderea016440, Ssiderea016392, Ssiderea016385, Ssiderea016386, Ssiderea016418, Ssiderea016384, Ssiderea016452, Ssiderea016416, Ssiderea016401, Ssiderea016414, Ssiderea016446, Ssiderea016425, Ssiderea016439, Ssiderea016194, Ssiderea016199, Ssiderea016196, Ssiderea016189, Ssiderea016207, Ssiderea016200
OG0000026	Ofaveolata028288, Ofaveolata028303, Ofaveolata028299, Ofaveolata028291, Ofaveolata028285, Ofaveolata028300, Ofaveolata028292, Ofaveolata028277, Ofaveolata028270, Ofaveolata028280, Ofaveolata035162, Ofaveolata028278, Ofaveolata028271, Ofaveolata028281, Ofaveolata028272, Ofaveolata028279, Ofaveolata028274, Ofaveolata028276, Ofaveolata028287, Ofaveolata028283, Ofaveolata028298, Ofaveolata028273, Ofaveolata028282, Ofaveolata028290, Ofaveolata028297	Ssiderea042459
OG0000028	Ofaveolata010752	Ssiderea034757, Ssiderea008463, Ssiderea031619, Ssiderea011772, Ssiderea054194, Ssiderea046855, Ssiderea027793, Ssiderea045113, Ssiderea008445, Ssiderea034759, Ssiderea056243, Ssiderea054432, Ssiderea005990, Ssiderea011775, Ssiderea034758, Ssiderea054187, Ssiderea017651, Ssiderea057375, Ssiderea047584, Ssiderea034760, Ssiderea008469, Ssiderea009987, Ssiderea054434, Ssiderea008146
OG0000030	Ofaveolata035078	Ssiderea017941
OG0000030	Ofaveolata034959	Ssiderea018072, Ssiderea003427, Ssiderea009537, Ssiderea054241, Ssiderea018845, Ssiderea003410, Ssiderea016169, Ssiderea016174, Ssiderea018067, Ssiderea035042, Ssiderea046416, Ssiderea007205, Ssiderea003441, Ssiderea018453, Ssiderea049104, Ssiderea049108, Ssiderea056642, Ssiderea017715, Ssiderea017953, Ssiderea032902, Ssiderea032894
OG0000031	Ofaveolata014887	Ssiderea003969, Ssiderea033055, Ssiderea033059, Ssiderea033065, Ssiderea033057, Ssiderea003981, Ssiderea003947, Ssiderea004013, Ssiderea003980, Ssiderea003994, Ssiderea033066, Ssiderea033060, Ssiderea033058, Ssiderea033056, Ssiderea053919, Ssiderea003958, Ssiderea004014, Ssiderea003968, Ssiderea021865, Ssiderea033054, Ssiderea033064, Ssiderea60698, Ssiderea003982
OG0000032	Ofaveolata021561	Ssiderea020551, Ssiderea020544, Ssiderea020547, Ssiderea020540, Ssiderea020546, Ssiderea020227, Ssiderea020238, Ssiderea020229, Ssiderea020241, Ssiderea020209, Ssiderea020208, Ssiderea020210, Ssiderea020233, Ssiderea020222, Ssiderea020211, Ssiderea020538, Ssiderea026254, Ssiderea026260, Ssiderea60467, Ssiderea026257, Ssiderea026253, Ssiderea026262, Ssiderea026256
OG0000033	Ofaveolata010845, Ofaveolata010844, Ofaveolata010846, Ofaveolata010847, Ofaveolata010842, Ofaveolata010848, Ofaveolata010841, Ofaveolata027515, Ofaveolata027653, Ofaveolata027631, Ofaveolata027642, Ofaveolata027645, Ofaveolata027637, Ofaveolata010822, Ofaveolata010825, Ofaveolata027650, Ofaveolata027632, Ofaveolata027627, Ofaveolata027643, Ofaveolata027647, Ofaveolata027648, Ofaveolata027640	Ssiderea042354
OG0000034	Ofaveolata006685	Ssiderea61682, Ssiderea59509, Ssiderea59178, Ssiderea61792, Ssiderea058652, Ssiderea62735, Ssiderea60246, Ssiderea60318, Ssiderea59623, Ssiderea62628, Ssiderea62034, Ssiderea056280, Ssiderea60645, Ssiderea62854, Ssiderea59755, Ssiderea62137, Ssiderea60699, Ssiderea62829, Ssiderea61119, Ssiderea60445, Ssiderea61875, Ssiderea61685
OG0000036	Ofaveolata010591	Ssiderea045295, Ssiderea059161
OG0000036	Ofaveolata011393, Ofaveolata011423, Ofaveolata011428, Ofaveolata011426, Ofaveolata011422, Ofaveolata011396, Ofaveolata011408, Ofaveolata011409, Ofaveolata011407, Ofaveolata011394, Ofaveolata011400, Ofaveolata011425, Ofaveolata011427, Ofaveolata011430, Ofaveolata011402, Ofaveolata010588, Ofaveolata010590, Ofaveolata010587	Ssiderea041909
OG0000037	Ofaveolata008293	Ssiderea027748, Ssiderea033173, Ssiderea033182, Ssiderea009381, Ssiderea046289, Ssiderea048051, Ssiderea032707, Ssiderea048034, Ssiderea032652, Ssiderea032690, Ssiderea048014, Ssiderea032666, Ssiderea032684, Ssiderea048029, Ssiderea048035, Ssiderea032691, Ssiderea032656, Ssiderea032735, Ssiderea62223, Ssiderea048013, Ssiderea032651
