"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid"
"1","LC_CC","OG0000430","Ofaveolata016514","Ssiderea034936",-1.22057071040207,2.84316654282264,NA,"Cell adhesion molecule",NA,"Signal transduction mechanisms"
"2","LC_CC","OG0001067","Ofaveolata002530","Ssiderea024883",1.00566458340304,1.02742320745488,"serine-type endopeptidase activity","serine-type endopeptidase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"3","LC_CC","OG0001357","Ofaveolata034842","Ssiderea013116",1.55323271198332,1.21317102157592,"Belongs to the peptidase S1 family","Belongs to the peptidase S1 family","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"4","LC_CC","OG0001518","Ofaveolata016763","Ssiderea024655",1.36258957846457,1.19376770569736,"Belongs to the peptidase S1 family","Belongs to the peptidase S1 family","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"5","LC_CC","OG0001686","Ofaveolata000104","Ssiderea021959",-1.21987981328492,-2.66394824306671,"PX domain","PX domain","Signal transduction mechanisms","Signal transduction mechanisms"
"6","LC_CC","OG0002369","Ofaveolata005198","Ssiderea042257",1.3145652820879,-1.19376770569736,"calcium ion binding","Eps15 homology domain","Intracellular trafficking, secretion, and vesicular transport",""
"7","LC_CC","OG0002827","Ofaveolata005263","Ssiderea015872",2.01631314792157,1.49062191343209,"negative chemotaxis","structural constituent of cuticle",NA,"Cell cycle control, cell division, chromosome partitioning"
"8","LC_CC","OG0003251","Ofaveolata013332","Ssiderea001097",2.58401812207852,1.73894530485947,"Endoribonuclease XendoU","endoribonuclease activity",NA,"Function Unknown"
"9","LC_CC","OG0004246","Ofaveolata002414","Ssiderea60368",1.05726789148635,1.17535042895303,"metalloendopeptidase activity","metalloendopeptidase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"10","LC_CC","OG0004354","Ofaveolata017133","Ssiderea052667",1.8712833371091,1.44950578657865,NA,"regulation of BMP signaling pathway",NA,""
"11","LC_CC","OG0004586","Ofaveolata013636","Ssiderea000142",1.75220567360132,1.56634797061644,"Serine threonine-protein kinase","myosin VI binding","Signal transduction mechanisms","Signal transduction mechanisms"
"12","LC_CC","OG0004777","Ofaveolata028780","Ssiderea014556",-1.7818558606584,-2.3794890203152,"skeletal muscle satellite cell commitment","Paired box 3","Transcription","Transcription"
"13","LC_CC","OG0005102","Ofaveolata024216","Ssiderea006447",1.10052889977246,-1.44668436549174,"FKBP-type peptidyl-prolyl cis-trans isomerase","FKBP-type peptidyl-prolyl cis-trans isomerase","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"14","LC_CC","OG0005114","Ofaveolata000277","Ssiderea029508",1.00207237378561,-1.46300440695452,"podosome assembly","podosome assembly","Cytoskeleton","Cytoskeleton"
"15","LC_CC","OG0005269","Ofaveolata033406","Ssiderea040225",1.00681890897403,2.50613782739102,"supervillin","supervillin","Cytoskeleton","Cytoskeleton"
"16","LC_CC","OG0005604","Ofaveolata033695","Ssiderea053627",1.00076078865555,-1.51566711833014,NA,"Cupin-like domain",NA,""
"17","LC_CC","OG0005850","Ofaveolata011231","Ssiderea051432",2.52792752291418,2.01056775166438,"pancreatic epsilon cell differentiation","pancreatic epsilon cell differentiation","Transcription","Transcription"
"18","LC_CC","OG0005959","Ofaveolata008394","Ssiderea008863",1.27892728462627,2.0991352826723,"peptidyl-prolyl cis-trans isomerase activity","peptidyl-prolyl cis-trans isomerase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"19","LC_CC","OG0006096","Ofaveolata007098","Ssiderea028220",-1.91674608823868,-2.0991352826723,"negative regulation of appetite","negative regulation of appetite",NA,"Function Unknown"
"20","LC_CC","OG0006285","Ofaveolata027055","Ssiderea042128",1.40686144584992,-1.68597606440008,"Myosin, light","Myosin, light","Cytoskeleton","Cytoskeleton"
"21","LC_CC","OG0006775","Ofaveolata028207","Ssiderea033260",1.57999573705448,-1.84046334735272,"Cupin-like domain","Cupin-like domain","",""
"22","LC_CC","OG0007046","Ofaveolata017826","Ssiderea048533",1.79640534775278,2.07622825169416,"scavenger receptor activity","scavenger receptor activity",NA,"Function Unknown"
"23","LC_CC","OG0007627","Ofaveolata011375","Ssiderea019309",1.21814288802561,-2.50271832199385,"Universal stress protein family","Universal stress protein family","Signal transduction mechanisms","Signal transduction mechanisms"
"24","LC_CC","OG0008320","Ofaveolata031065","Ssiderea006599",1.74739044728767,1.65512525917341,"supervillin","supervillin","Cytoskeleton","Cytoskeleton"
